issue_id,point_id,mach,aoa,value,threshold,status,notes
G04,cd_m0.30_a0,0.30,0.0,0.644685,<2.0,pass,CD at M=0.30 AoA=0
G04,cn_m0.30_a0,0.30,0.0,7.812352,<50.0,pass,CN at M=0.30 AoA=0
G07,sbli_m0.30_a0,0.30,0.0,0.910000,>0.1,pass,|M^2-1| at M=0.30
G08,press_m0.30_a0,0.30,0.0,0.170008,<2.0,pass,Pressure CD at M=0.30
G04,cd_m0.30_a2,0.30,2.0,0.654291,<2.0,pass,CD at M=0.30 AoA=2
G04,cn_m0.30_a2,0.30,2.0,7.885250,<50.0,pass,CN at M=0.30 AoA=2
G07,sbli_m0.30_a2,0.30,2.0,0.910000,>0.1,pass,|M^2-1| at M=0.30
G08,press_m0.30_a2,0.30,2.0,0.170008,<2.0,pass,Pressure CD at M=0.30
G04,cd_m0.30_a5,0.30,5.0,0.705476,<2.0,pass,CD at M=0.30 AoA=5
G04,cn_m0.30_a5,0.30,5.0,7.992683,<50.0,pass,CN at M=0.30 AoA=5
G07,sbli_m0.30_a5,0.30,5.0,0.910000,>0.1,pass,|M^2-1| at M=0.30
G08,press_m0.30_a5,0.30,5.0,0.170008,<2.0,pass,Pressure CD at M=0.30
G04,cd_m0.30_a10,0.30,10.0,0.892150,<2.0,pass,CD at M=0.30 AoA=10
G04,cn_m0.30_a10,0.30,10.0,8.165173,<50.0,pass,CN at M=0.30 AoA=10
G07,sbli_m0.30_a10,0.30,10.0,0.910000,>0.1,pass,|M^2-1| at M=0.30
G08,press_m0.30_a10,0.30,10.0,0.170008,<2.0,pass,Pressure CD at M=0.30
G04,cd_m0.50_a0,0.50,0.0,0.672720,<2.0,pass,CD at M=0.50 AoA=0
G04,cn_m0.50_a0,0.50,0.0,7.976557,<50.0,pass,CN at M=0.50 AoA=0
G07,sbli_m0.50_a0,0.50,0.0,0.750000,>0.1,pass,|M^2-1| at M=0.50
G08,press_m0.50_a0,0.50,0.0,0.176884,<2.0,pass,Pressure CD at M=0.50
G04,cd_m0.50_a2,0.50,2.0,0.682526,<2.0,pass,CD at M=0.50 AoA=2
G04,cn_m0.50_a2,0.50,2.0,8.049455,<50.0,pass,CN at M=0.50 AoA=2
G07,sbli_m0.50_a2,0.50,2.0,0.750000,>0.1,pass,|M^2-1| at M=0.50
G08,press_m0.50_a2,0.50,2.0,0.176884,<2.0,pass,Pressure CD at M=0.50
G04,cd_m0.50_a5,0.50,5.0,0.734759,<2.0,pass,CD at M=0.50 AoA=5
G04,cn_m0.50_a5,0.50,5.0,8.156888,<50.0,pass,CN at M=0.50 AoA=5
G07,sbli_m0.50_a5,0.50,5.0,0.750000,>0.1,pass,|M^2-1| at M=0.50
G08,press_m0.50_a5,0.50,5.0,0.176884,<2.0,pass,Pressure CD at M=0.50
G04,cd_m0.50_a10,0.50,10.0,0.925161,<2.0,pass,CD at M=0.50 AoA=10
G04,cn_m0.50_a10,0.50,10.0,8.329378,<50.0,pass,CN at M=0.50 AoA=10
G07,sbli_m0.50_a10,0.50,10.0,0.750000,>0.1,pass,|M^2-1| at M=0.50
G08,press_m0.50_a10,0.50,10.0,0.176884,<2.0,pass,Pressure CD at M=0.50
G04,cd_m0.80_a0,0.80,0.0,0.741945,<2.0,pass,CD at M=0.80 AoA=0
G04,cn_m0.80_a0,0.80,0.0,8.464399,<50.0,pass,CN at M=0.80 AoA=0
G07,sbli_m0.80_a0,0.80,0.0,0.360000,>0.1,pass,|M^2-1| at M=0.80
G08,press_m0.80_a0,0.80,0.0,0.194534,<2.0,pass,Pressure CD at M=0.80
G04,cd_m0.80_a2,0.80,2.0,0.752345,<2.0,pass,CD at M=0.80 AoA=2
G04,cn_m0.80_a2,0.80,2.0,8.537296,<50.0,pass,CN at M=0.80 AoA=2
G07,sbli_m0.80_a2,0.80,2.0,0.360000,>0.1,pass,|M^2-1| at M=0.80
G08,press_m0.80_a2,0.80,2.0,0.194534,<2.0,pass,Pressure CD at M=0.80
G04,cd_m0.80_a5,0.80,5.0,0.807695,<2.0,pass,CD at M=0.80 AoA=5
G04,cn_m0.80_a5,0.80,5.0,8.644730,<50.0,pass,CN at M=0.80 AoA=5
G07,sbli_m0.80_a5,0.80,5.0,0.360000,>0.1,pass,|M^2-1| at M=0.80
G08,press_m0.80_a5,0.80,5.0,0.194534,<2.0,pass,Pressure CD at M=0.80
G04,cd_m0.80_a10,0.80,10.0,1.009171,<2.0,pass,CD at M=0.80 AoA=10
G04,cn_m0.80_a10,0.80,10.0,8.817219,<50.0,pass,CN at M=0.80 AoA=10
G07,sbli_m0.80_a10,0.80,10.0,0.360000,>0.1,pass,|M^2-1| at M=0.80
G08,press_m0.80_a10,0.80,10.0,0.194534,<2.0,pass,Pressure CD at M=0.80
G04,cd_m0.90_a0,0.90,0.0,0.779989,<2.0,pass,CD at M=0.90 AoA=0
G04,cn_m0.90_a0,0.90,0.0,8.545536,<50.0,pass,CN at M=0.90 AoA=0
G07,sbli_m0.90_a0,0.90,0.0,0.190000,>0.1,pass,|M^2-1| at M=0.90
G08,press_m0.90_a0,0.90,0.0,0.207936,<2.0,pass,Pressure CD at M=0.90
G04,cd_m0.90_a2,0.90,2.0,0.790479,<2.0,pass,CD at M=0.90 AoA=2
G04,cn_m0.90_a2,0.90,2.0,8.610810,<50.0,pass,CN at M=0.90 AoA=2
G07,sbli_m0.90_a2,0.90,2.0,0.190000,>0.1,pass,|M^2-1| at M=0.90
G08,press_m0.90_a2,0.90,2.0,0.207936,<2.0,pass,Pressure CD at M=0.90
G04,cd_m0.90_a5,0.90,5.0,0.846211,<2.0,pass,CD at M=0.90 AoA=5
G04,cn_m0.90_a5,0.90,5.0,8.706849,<50.0,pass,CN at M=0.90 AoA=5
G07,sbli_m0.90_a5,0.90,5.0,0.190000,>0.1,pass,|M^2-1| at M=0.90
G08,press_m0.90_a5,0.90,5.0,0.207936,<2.0,pass,Pressure CD at M=0.90
G04,cd_m0.90_a10,0.90,10.0,1.048530,<2.0,pass,CD at M=0.90 AoA=10
G04,cn_m0.90_a10,0.90,10.0,8.860609,<50.0,pass,CN at M=0.90 AoA=10
G07,sbli_m0.90_a10,0.90,10.0,0.190000,>0.1,pass,|M^2-1| at M=0.90
G08,press_m0.90_a10,0.90,10.0,0.207936,<2.0,pass,Pressure CD at M=0.90
G04,cd_m0.95_a0,0.95,0.0,0.831183,<2.0,pass,CD at M=0.95 AoA=0
G04,cn_m0.95_a0,0.95,0.0,7.594425,<50.0,pass,CN at M=0.95 AoA=0
G08,press_m0.95_a0,0.95,0.0,0.249424,<2.0,pass,Pressure CD at M=0.95
G04,cd_m0.95_a2,0.95,2.0,0.840504,<2.0,pass,CD at M=0.95 AoA=2
G04,cn_m0.95_a2,0.95,2.0,7.651504,<50.0,pass,CN at M=0.95 AoA=2
G08,press_m0.95_a2,0.95,2.0,0.249424,<2.0,pass,Pressure CD at M=0.95
G04,cd_m0.95_a5,0.95,5.0,0.890016,<2.0,pass,CD at M=0.95 AoA=5
G04,cn_m0.95_a5,0.95,5.0,7.735302,<50.0,pass,CN at M=0.95 AoA=5
G08,press_m0.95_a5,0.95,5.0,0.249424,<2.0,pass,Pressure CD at M=0.95
G04,cd_m0.95_a10,0.95,10.0,1.069670,<2.0,pass,CD at M=0.95 AoA=10
G04,cn_m0.95_a10,0.95,10.0,7.868963,<50.0,pass,CN at M=0.95 AoA=10
G08,press_m0.95_a10,0.95,10.0,0.249424,<2.0,pass,Pressure CD at M=0.95
