regime,predictor,n,mean,std,rmse,mae,within_5pct,within_10pct,median,min,max,mach_min,mach_max
Subsonic,OpenRocket Plus,9,2.5356,4.3658,4.8344,4.2956,7,9,3.2100,-3.7000,8.3900,0.5400,0.7900
Subsonic,RASAero II,9,3.6056,5.8071,6.5556,5.8478,4,8,4.4700,-7.8700,11.5200,0.5400,0.7900
Transonic,OpenRocket Plus,7,-3.6571,5.3610,6.1652,5.8429,2,7,-6.0600,-8.4000,7.6500,0.8100,1.2200
Transonic,RASAero II,7,-1.3329,5.6655,5.4119,5.0414,4,7,-3.3900,-8.0300,7.1100,0.8100,1.2200
Low supersonic,OpenRocket Plus,5,1.8260,5.7035,5.4183,4.6100,3,5,-1.9100,-2.6600,8.7200,1.9800,2.8700
Low supersonic,RASAero II,5,1.8720,5.8911,5.5918,5.1120,3,5,2.0800,-4.1900,8.3600,1.9800,2.8700
High supersonic,OpenRocket Plus,4,-3.9750,2.9606,4.7301,3.9750,2,4,-3.9700,-6.9500,-1.0100,3.0400,4.3300
High supersonic,RASAero II,4,3.8850,6.0783,6.5424,5.2550,2,4,3.7300,-1.4800,9.5600,3.0400,4.3300
Hypersonic,OpenRocket Plus,0,,,,,0,0,,,,,
Hypersonic,RASAero II,0,,,,,0,0,,,,,
All,OpenRocket Plus,25,-0.3820,5.4354,5.3393,4.7404,14,25,-1.9100,-8.4000,8.7200,0.5400,4.3300
All,RASAero II,25,1.9208,5.8705,6.0642,5.3800,13,24,2.2600,-8.0300,11.5200,0.5400,4.3300
