flight_id,flight_label,real_apogee_ft,param_id,perturbation_fraction,applied_value,nominal_apogee_ft,nominal_max_mach,perturbed_apogee_ft,perturbed_max_mach,delta_apogee_pct,sensitivity,success,note
"heros3","HEROS 3 (M~1.9, 32 km)",106000,"nominal",0.0000,1.000000,38761,1.885,38761,1.885,0.0000,,true,"ASCENT_CUTOFF"
"heros3","HEROS 3 (M~1.9, 32 km)",106000,"cd_scale",-0.1000,0.900000,38761,1.885,41797,1.955,7.8329,-0.783289,true,"ASCENT_CUTOFF"
"heros3","HEROS 3 (M~1.9, 32 km)",106000,"cd_scale",0.1000,1.100000,38761,1.885,36338,1.820,-6.2505,-0.625051,true,"ASCENT_CUTOFF"
"heros3","HEROS 3 (M~1.9, 32 km)",106000,"launch_altitude",-0.1000,351.900000,38761,1.885,38767,1.885,0.0171,-0.001715,true,"ASCENT_CUTOFF"
"heros3","HEROS 3 (M~1.9, 32 km)",106000,"launch_altitude",0.1000,430.100000,38761,1.885,38754,1.886,-0.0172,-0.001724,true,"ASCENT_CUTOFF"
"heros3","HEROS 3 (M~1.9, 32 km)",106000,"time_step",-0.1000,0.025000,38761,1.885,38757,1.886,-0.0094,0.000935,true,"ASCENT_CUTOFF"
"heros3","HEROS 3 (M~1.9, 32 km)",106000,"time_step",0.1000,0.100000,38761,1.885,38758,1.885,-0.0064,-0.000643,true,"ASCENT_CUTOFF"
"heros3","HEROS 3 (M~1.9, 32 km)",106000,"launch_angle",-0.1000,9.000000,38761,1.885,39556,1.886,2.0507,-0.205068,true,"ASCENT_CUTOFF"
"heros3","HEROS 3 (M~1.9, 32 km)",106000,"launch_angle",0.1000,11.000000,38761,1.885,37912,1.885,-2.1890,-0.218898,true,"ASCENT_CUTOFF"
"arcas_blunt_f2","Arcas Flight 2 blunt (M~2.3, 24 km)",78000,"nominal",0.0000,1.000000,53478,2.298,53478,2.298,0.0000,,true,"ASCENT_CUTOFF"
"arcas_blunt_f2","Arcas Flight 2 blunt (M~2.3, 24 km)",78000,"cd_scale",-0.1000,0.900000,53478,2.298,54717,2.359,2.3166,-0.231658,true,"ASCENT_CUTOFF"
"arcas_blunt_f2","Arcas Flight 2 blunt (M~2.3, 24 km)",78000,"cd_scale",0.1000,1.100000,53478,2.298,52880,2.216,-1.1192,-0.111919,true,"ASCENT_CUTOFF"
"arcas_blunt_f2","Arcas Flight 2 blunt (M~2.3, 24 km)",78000,"launch_altitude",-0.1000,1097.280000,53478,2.298,51586,2.303,-3.5386,0.353863,true,"ASCENT_CUTOFF"
"arcas_blunt_f2","Arcas Flight 2 blunt (M~2.3, 24 km)",78000,"launch_altitude",0.1000,1341.120000,53478,2.298,53594,2.299,0.2168,0.021676,true,"ASCENT_CUTOFF"
"arcas_blunt_f2","Arcas Flight 2 blunt (M~2.3, 24 km)",78000,"time_step",-0.1000,0.025000,53478,2.298,55584,2.295,3.9381,-0.393809,true,"ASCENT_CUTOFF"
"arcas_blunt_f2","Arcas Flight 2 blunt (M~2.3, 24 km)",78000,"time_step",0.1000,0.100000,53478,2.298,51569,2.297,-3.5701,-0.357014,true,"ASCENT_CUTOFF"
"arcas_blunt_f2","Arcas Flight 2 blunt (M~2.3, 24 km)",78000,"launch_angle",-0.1000,4.500000,53478,2.298,52069,2.301,-2.6349,0.263485,true,"ASCENT_CUTOFF"
"arcas_blunt_f2","Arcas Flight 2 blunt (M~2.3, 24 km)",78000,"launch_angle",0.1000,5.500000,53478,2.298,53285,2.296,-0.3611,-0.036110,true,"ASCENT_CUTOFF"
"nike_apache_14_108","Nike-Apache 14.108 GI (M~6.5, 161 km)",528000,"nominal",0.0000,1.000000,694083,6.498,694083,6.498,0.0000,,true,"ASCENT_CUTOFF"
"nike_apache_14_108","Nike-Apache 14.108 GI (M~6.5, 161 km)",528000,"cd_scale",-0.1000,0.900000,694083,6.498,720492,6.597,3.8049,-0.380485,true,"ASCENT_CUTOFF"
"nike_apache_14_108","Nike-Apache 14.108 GI (M~6.5, 161 km)",528000,"cd_scale",0.1000,1.100000,694083,6.498,668292,6.399,-3.7158,-0.371583,true,"ASCENT_CUTOFF"
"nike_apache_14_108","Nike-Apache 14.108 GI (M~6.5, 161 km)",528000,"launch_altitude",-0.1000,0.000000,694083,6.498,694083,6.498,0.0000,-0.000000,true,"ASCENT_CUTOFF"
"nike_apache_14_108","Nike-Apache 14.108 GI (M~6.5, 161 km)",528000,"launch_altitude",0.1000,100.000000,694083,6.498,694175,6.496,0.0132,0.001323,true,"ASCENT_CUTOFF"
"nike_apache_14_108","Nike-Apache 14.108 GI (M~6.5, 161 km)",528000,"time_step",-0.1000,0.025000,694083,6.498,694099,6.498,0.0023,-0.000233,true,"ASCENT_CUTOFF"
"nike_apache_14_108","Nike-Apache 14.108 GI (M~6.5, 161 km)",528000,"time_step",0.1000,0.100000,694083,6.498,693978,6.497,-0.0152,-0.001519,true,"ASCENT_CUTOFF"
