# Basic Finner Reference Projectile — Individual Shot Data
# Source: ADA636861 (Dupuis & Hathaway 1997), single-fit reductions
# See ADA636861_basic_finner_cx0.csv for geometry and provenance.
# These individual shots show experimental scatter and can be used
# to estimate measurement uncertainty bands.
Shot,Mach,CX0,CNa_per_rad,CMa_per_rad
DA95022010,1.056,0.868,18.73,-50.489
DA95022219,1.058,0.868,18.02,-51.605
DA95022230,1.116,0.854,18.50,-54.595
DA95030613,1.254,0.760,18.81,-52.604
DA95022009,1.332,0.701,16.29,-49.917
DA95030622,1.377,0.708,16.37,-45.883
DA95021318,1.799,0.594,11.29,-28.977
DA95021529,1.846,0.598,11.80,-27.450
DA95021308,1.850,0.567,11.80,-27.511
DA95021328,2.348,0.500,10.37,-19.738
DA95020907,2.364,0.478,10.17,-19.021
DA95021317,2.414,0.473,9.92,-18.120
DA95020927,2.663,0.446,8.95,-15.964
DA95020906,2.741,0.400,8.92,-14.877
DA95020916,2.749,0.452,9.00,-15.373
DA95030603,2.969,0.385,8.00,-13.900
DA95022205,2.970,0.376,8.72,-13.535
DA95022215,3.312,0.350,8.41,-11.485
DA95022726,3.338,0.376,8.19,-11.233
DA95022702,3.682,0.310,8.13,-10.169
DA95030121,3.745,0.309,8.45,-9.457
DA95022712,3.775,0.308,7.92,-9.275
DA95031523,4.127,0.285,7.65,-8.432
DA95030101,4.425,0.268,8.97,-7.950
DA95030111,4.473,0.257,7.76,-7.342
