series_id,series_label,figure_id,figure_caption,source_image,mach_nominal,mach_from_pixels,x_px,y_px,C_DF_digitized
LD_Haack,Von Karman (L-D Haack),fig11c_ld_haack,"Figure 11(c). Comparison of experimental and theoretical foredrag for model no. 13, L-D Haack, L/D = 3.",build-tmp/pdf_inspect/a52h28_fig11c_ldhaack.png,1.24,1.2402,48.0,171.0,0.085789
LD_Haack,Von Karman (L-D Haack),fig11c_ld_haack,"Figure 11(c). Comparison of experimental and theoretical foredrag for model no. 13, L-D Haack, L/D = 3.",build-tmp/pdf_inspect/a52h28_fig11c_ldhaack.png,1.44,1.4242,85.0,146.0,0.098947
LD_Haack,Von Karman (L-D Haack),fig11c_ld_haack,"Figure 11(c). Comparison of experimental and theoretical foredrag for model no. 13, L-D Haack, L/D = 3.",build-tmp/pdf_inspect/a52h28_fig11c_ldhaack.png,1.99,1.9463,190.0,169.0,0.086842
LD_Haack,Von Karman (L-D Haack),fig11c_ld_haack,"Figure 11(c). Comparison of experimental and theoretical foredrag for model no. 13, L-D Haack, L/D = 3.",build-tmp/pdf_inspect/a52h28_fig11c_ldhaack.png,3.06,3.0602,414.0,178.0,0.082105
LD_Haack,Von Karman (L-D Haack),fig11c_ld_haack,"Figure 11(c). Comparison of experimental and theoretical foredrag for model no. 13, L-D Haack, L/D = 3.",build-tmp/pdf_inspect/a52h28_fig11c_ldhaack.png,3.67,3.6818,539.0,177.0,0.082632
LV_ogive,L-V Ogive (L/D=2.93),fig11b_lv_ogive,"Figure 11(b). Comparison of experimental and theoretical foredrag for model no. 16, L-V ogive, L/D = 2.93.",build-tmp/pdf_inspect/a52h28_fig11b_lvogive.png,1.24,1.2401,43.0,114.0,0.116316
LV_ogive,L-V Ogive (L/D=2.93),fig11b_lv_ogive,"Figure 11(b). Comparison of experimental and theoretical foredrag for model no. 16, L-V ogive, L/D = 2.93.",build-tmp/pdf_inspect/a52h28_fig11b_lvogive.png,1.44,1.4323,81.0,109.0,0.118947
LV_ogive,L-V Ogive (L/D=2.93),fig11b_lv_ogive,"Figure 11(b). Comparison of experimental and theoretical foredrag for model no. 16, L-V ogive, L/D = 2.93.",build-tmp/pdf_inspect/a52h28_fig11b_lvogive.png,1.99,1.9884,191.0,122.0,0.112105
LV_ogive,L-V Ogive (L/D=2.93),fig11b_lv_ogive,"Figure 11(b). Comparison of experimental and theoretical foredrag for model no. 16, L-V ogive, L/D = 2.93.",build-tmp/pdf_inspect/a52h28_fig11b_lvogive.png,2.86,2.8883,369.0,146.0,0.099474
LV_ogive,L-V Ogive (L/D=2.93),fig11b_lv_ogive,"Figure 11(b). Comparison of experimental and theoretical foredrag for model no. 16, L-V ogive, L/D = 2.93.",build-tmp/pdf_inspect/a52h28_fig11b_lvogive.png,3.06,3.0602,403.0,147.0,0.098947
LV_ogive,L-V Ogive (L/D=2.93),fig11b_lv_ogive,"Figure 11(b). Comparison of experimental and theoretical foredrag for model no. 16, L-V ogive, L/D = 2.93.",build-tmp/pdf_inspect/a52h28_fig11b_lvogive.png,3.67,3.6719,524.0,154.0,0.095263
cone_n1,Sharp Cone (n=1),fig15_family,Figure 15. Variation of foredrag coefficient with Mach number for the family of L/D = 3 nose shapes defined by r = R (x/L)^n.,build-tmp/pdf_inspect/a52h28_fig15_plot.png,1.24,1.2400,48.0,256.0,0.127970
cone_n1,Sharp Cone (n=1),fig15_family,Figure 15. Variation of foredrag coefficient with Mach number for the family of L/D = 3 nose shapes defined by r = R (x/L)^n.,build-tmp/pdf_inspect/a52h28_fig15_plot.png,1.44,1.4175,84.0,283.0,0.114931
cone_n1,Sharp Cone (n=1),fig15_family,Figure 15. Variation of foredrag coefficient with Mach number for the family of L/D = 3 nose shapes defined by r = R (x/L)^n.,build-tmp/pdf_inspect/a52h28_fig15_plot.png,1.99,1.9502,192.0,329.0,0.092718
cone_n1,Sharp Cone (n=1),fig15_family,Figure 15. Variation of foredrag coefficient with Mach number for the family of L/D = 3 nose shapes defined by r = R (x/L)^n.,build-tmp/pdf_inspect/a52h28_fig15_plot.png,3.06,2.9859,402.0,351.0,0.082094
paraboloid_n0p5,Paraboloid (n=0.5),fig15_family,Figure 15. Variation of foredrag coefficient with Mach number for the family of L/D = 3 nose shapes defined by r = R (x/L)^n.,build-tmp/pdf_inspect/a52h28_fig15_plot.png,1.24,1.2400,48.0,371.0,0.072436
paraboloid_n0p5,Paraboloid (n=0.5),fig15_family,Figure 15. Variation of foredrag coefficient with Mach number for the family of L/D = 3 nose shapes defined by r = R (x/L)^n.,build-tmp/pdf_inspect/a52h28_fig15_plot.png,1.44,1.4274,86.0,337.0,0.088855
paraboloid_n0p5,Paraboloid (n=0.5),fig15_family,Figure 15. Variation of foredrag coefficient with Mach number for the family of L/D = 3 nose shapes defined by r = R (x/L)^n.,build-tmp/pdf_inspect/a52h28_fig15_plot.png,1.99,1.9502,192.0,330.0,0.092235
paraboloid_n0p5,Paraboloid (n=0.5),fig15_family,Figure 15. Variation of foredrag coefficient with Mach number for the family of L/D = 3 nose shapes defined by r = R (x/L)^n.,build-tmp/pdf_inspect/a52h28_fig15_plot.png,3.06,2.9859,402.0,348.0,0.083543
paraboloid_n0p5,Paraboloid (n=0.5),fig15_family,Figure 15. Variation of foredrag coefficient with Mach number for the family of L/D = 3 nose shapes defined by r = R (x/L)^n.,build-tmp/pdf_inspect/a52h28_fig15_plot.png,3.67,3.5975,526.0,349.0,0.083060
quarter_power_n0p25,1/4 Power Series (n=0.25),fig15_family,Figure 15. Variation of foredrag coefficient with Mach number for the family of L/D = 3 nose shapes defined by r = R (x/L)^n.,build-tmp/pdf_inspect/a52h28_fig15_plot.png,1.24,1.2400,48.0,236.0,0.137628
quarter_power_n0p25,1/4 Power Series (n=0.25),fig15_family,Figure 15. Variation of foredrag coefficient with Mach number for the family of L/D = 3 nose shapes defined by r = R (x/L)^n.,build-tmp/pdf_inspect/a52h28_fig15_plot.png,1.44,1.4323,87.0,180.0,0.164671
quarter_power_n0p25,1/4 Power Series (n=0.25),fig15_family,Figure 15. Variation of foredrag coefficient with Mach number for the family of L/D = 3 nose shapes defined by r = R (x/L)^n.,build-tmp/pdf_inspect/a52h28_fig15_plot.png,1.99,1.9600,194.0,99.0,0.203786
quarter_power_n0p25,1/4 Power Series (n=0.25),fig15_family,Figure 15. Variation of foredrag coefficient with Mach number for the family of L/D = 3 nose shapes defined by r = R (x/L)^n.,build-tmp/pdf_inspect/a52h28_fig15_plot.png,3.06,3.0599,417.0,35.0,0.234692
quarter_power_n0p25,1/4 Power Series (n=0.25),fig15_family,Figure 15. Variation of foredrag coefficient with Mach number for the family of L/D = 3 nose shapes defined by r = R (x/L)^n.,build-tmp/pdf_inspect/a52h28_fig15_plot.png,3.67,3.6469,536.0,31.0,0.236624
