mach,thickness_mm,tau,beta,cdw_ackeret_planform,cdw_ackeret_bodyref,cdw_finsetcalc,relative_error_pct,finArea_m2,refArea_m2
1.20,1.0,0.025000,0.66332,0.00376889,0.00383896,0.00383896,0.00,0.00200000,0.00196350
1.50,1.0,0.025000,1.11803,0.00223607,0.00227764,0.00227764,0.00,0.00200000,0.00196350
2.00,1.0,0.025000,1.73205,0.00144338,0.00147021,0.00147021,0.00,0.00200000,0.00196350
3.00,1.0,0.025000,2.82843,0.00088388,0.00090032,0.00090032,0.00,0.00200000,0.00196350
5.00,1.0,0.025000,4.89898,0.00051031,0.00051980,0.00051980,0.00,0.00200000,0.00196350
1.20,2.0,0.050000,0.66332,0.01507557,0.01535585,0.01535585,0.00,0.00200000,0.00196350
1.50,2.0,0.050000,1.11803,0.00894427,0.00911056,0.00911056,0.00,0.00200000,0.00196350
2.00,2.0,0.050000,1.73205,0.00577350,0.00588084,0.00588084,0.00,0.00200000,0.00196350
3.00,2.0,0.050000,2.82843,0.00353553,0.00360127,0.00360127,0.00,0.00200000,0.00196350
5.00,2.0,0.050000,4.89898,0.00204124,0.00207919,0.00207919,0.00,0.00200000,0.00196350
1.20,4.0,0.100000,0.66332,0.06030227,0.06142339,0.06142339,0.00,0.00200000,0.00196350
1.50,4.0,0.100000,1.11803,0.03577709,0.03644224,0.03644224,0.00,0.00200000,0.00196350
2.00,4.0,0.100000,1.73205,0.02309401,0.02352337,0.02352337,0.00,0.00200000,0.00196350
3.00,4.0,0.100000,2.82843,0.01414214,0.01440506,0.01440506,0.00,0.00200000,0.00196350
5.00,4.0,0.100000,4.89898,0.00816497,0.00831677,0.00831677,0.00,0.00200000,0.00196350
