# AEDC-TR-76-58 Magnus Force and Moment Data
# Source: Jenke, L.M. (1976) "Experimental Roll-Damping, Magnus, and Static-Stability
#   Characteristics of Two Slender Missile Configurations at High Angles of Attack
#   (0 to 90 deg) and Mach Numbers 0.2 Through 2.5", AEDC-TR-76-58, July 1976.
#
# Digitized from figures by visual inspection of plotted curves.
# Accuracy: approximately +/-0.5 in CYp and +/-2 in Cnp at small alpha,
#   larger uncertainty at high alpha where data is erratic.
#
# ============================================================================
# COEFFICIENT DEFINITIONS (from report nomenclature, p.110):
#   CYp = dCY/d(pd/2Vinf) = Magnus side-force derivative w.r.t. spin rate
#   Cnp = dCn/d(pd/2Vinf) = Magnus yawing-moment derivative w.r.t. spin rate
#   where p = roll rate (rad/s), d = reference diameter, Vinf = freestream velocity
#   Moments referenced to balance forward moment bridge (body station noted in Fig.2)
#   Reference area = pi*d^2/4 (cross-sectional area), Reference length = d
#
# MODEL DESCRIPTIONS:
#   Basic Finner: 10-cal cone-cylinder + 4 rectangular fins (1 cal chord, 1 cal span)
#     Cone half-angle = 10 deg, 4 fins at 90-deg spacing, zero cant
#     Body diameter d = 3.0 in (from Fig.2), total length = 10 calibers = 30 in
#   Modified Basic Finner: same body with ogive nose + 4 trapezoidal fins, zero cant
#
# KEY FINDING FOR ORP CALIBRATION:
#   At small AoA (0-5 deg), CYp is approximately 0 for the complete vehicle
#   (body+fins). The Magnus force only becomes significant at alpha > 10 deg.
#   At M=2.50 (Basic Finner), CYp ranges from ~0 at alpha=0 to ~24 at alpha=40 deg.
#   At M=0.22 (Basic Finner), CYp is erratic and oscillates between -50 and +5.
#   The signs change between subsonic and supersonic: at M=2.5 CYp is positive,
#   at M=0.22 CYp is predominantly negative.
#
#   The body Magnus contribution RELATIVE TO TOTAL CNa is NOT directly measurable
#   from this data because they measured the complete vehicle (body+fins) Magnus,
#   not body-alone vs fin-alone. However, the data provides total-vehicle CYp and
#   Cnp magnitudes for a finned missile configuration.
# ============================================================================

# ============================================================================
# TABLE 1: Basic Finner Model - CYp vs alpha
# Figure 15a: M=0.22, Re_d=1.05e5 (very erratic, large scatter)
# Figure 15b: M=2.50, Re_d=1.86e5 (smooth, well-defined)
# Figure 15c: M=2.50, Re_d=1.86e5 and 5.97e5 (Reynolds number effect)
# ============================================================================
# figure,model,Mach,Re_d_x1e-5,alpha_deg,CYp,Cnp,notes
figure,model,Mach,Re_d_x1e-5,alpha_deg,CYp,Cnp,notes

# --- Figure 15a: Basic Finner, M=0.22 ---
# NOTE: Data extremely erratic at this low Mach number. Values oscillate wildly.
# CYp oscillates between roughly -55 and +5
# Cnp oscillates between roughly -20 and +130
# Only approximate values are given.
15a,Basic Finner,0.22,1.05,-5,0,0,near zero at small alpha
15a,Basic Finner,0.22,1.05,0,0,-5,
15a,Basic Finner,0.22,1.05,5,-2,-5,erratic
15a,Basic Finner,0.22,1.05,10,-5,10,erratic
15a,Basic Finner,0.22,1.05,15,-10,20,
15a,Basic Finner,0.22,1.05,20,-20,40,
15a,Basic Finner,0.22,1.05,25,-25,80,
15a,Basic Finner,0.22,1.05,30,-30,100,approximate peak region
15a,Basic Finner,0.22,1.05,35,-40,110,
15a,Basic Finner,0.22,1.05,40,-45,120,approximate peak
15a,Basic Finner,0.22,1.05,45,-55,100,
15a,Basic Finner,0.22,1.05,50,-50,80,
15a,Basic Finner,0.22,1.05,55,-40,60,
15a,Basic Finner,0.22,1.05,60,-25,40,
15a,Basic Finner,0.22,1.05,65,-20,30,
15a,Basic Finner,0.22,1.05,70,-25,20,
15a,Basic Finner,0.22,1.05,75,-22,40,
15a,Basic Finner,0.22,1.05,80,-20,30,
15a,Basic Finner,0.22,1.05,85,-25,20,
15a,Basic Finner,0.22,1.05,90,-22,15,

# --- Figure 15b: Basic Finner, M=2.50 (spin-down delta=0 and spin-up delta=2.5) ---
# NOTE: Data much smoother at supersonic speed. Good agreement between spin-up/down.
15b,Basic Finner,2.50,1.86,-5,0,0,
15b,Basic Finner,2.50,1.86,0,0,0,
15b,Basic Finner,2.50,1.86,5,1,-2,small positive CYp
15b,Basic Finner,2.50,1.86,10,4,-10,
15b,Basic Finner,2.50,1.86,15,8,-25,
15b,Basic Finner,2.50,1.86,20,12,-40,
15b,Basic Finner,2.50,1.86,25,16,-55,
15b,Basic Finner,2.50,1.86,30,20,-65,
15b,Basic Finner,2.50,1.86,35,22,-70,
15b,Basic Finner,2.50,1.86,40,24,-75,peak CYp
15b,Basic Finner,2.50,1.86,45,22,-65,
15b,Basic Finner,2.50,1.86,50,18,-55,
15b,Basic Finner,2.50,1.86,55,16,-50,
15b,Basic Finner,2.50,1.86,60,14,-45,
15b,Basic Finner,2.50,1.86,65,14,-40,
15b,Basic Finner,2.50,1.86,70,14,-40,
15b,Basic Finner,2.50,1.86,75,13,-38,
15b,Basic Finner,2.50,1.86,80,12,-35,
