# AEDC-TR-76-58, Jenke (1976)
# "Experimental Roll-Damping, Magnus, and Static-Stability Characteristics
#  of Two Slender Missile Configurations at High Angles of Attack (0 to 90 deg)
#  and Mach Numbers 0.2 Through 2.5"
#
# Roll damping coefficient Clp vs Mach at alpha=0 deg (linear damping region)
# Digitized from Figure 12 (Modified Basic Finner Model) and Figure 9 (Basic Finner Model)
#
# Clp is defined as: (Lp_w - Lp_B) / (2 * q_inf * A * d^2)
# where Lp is the roll-damping moment derivative with respect to roll rate,
# subscripts w=wind-on, B=bearing contribution
# Clp is negative (damping opposes roll), so |Clp| is the damping magnitude
#
# The Modified Basic Finner has an ogive nose and trapezoidal fins (zero cant).
# The Basic Finner has a cone nose and rectangular fins.
# Both have 10-caliber body length and 4 fins.
#
# KEY FINDING: |Clp| shows a clear transonic/low-supersonic peak near M=1.3-1.5,
# roughly 40% higher than subsonic values. This supports a Gaussian transonic
# augmentation model for roll damping.
#
# No pitch damping (Cmq, Cmalpha_dot) data in this report -- roll damping only.
#
# NOTE: Clp values here are in the report's nondimensional form.
# The report uses pd/2V_inf as the reduced spin rate parameter.
#
model,Mach,Re_d_x1e-5,alpha_deg,Clp,source_figure,notes
Modified Basic Finner,0.60,2.60,0,-3.5,Fig 12a,triangle symbol
Modified Basic Finner,0.60,4.17,0,-3.3,Fig 12a,circle symbol
Modified Basic Finner,0.90,2.60,0,-4.0,Fig 12b,damping slightly nonlinear at low alpha
Modified Basic Finner,0.90,4.17,0,-3.8,Fig 12b,
Modified Basic Finner,1.15,4.17,0,-4.0,Fig 12c,
Modified Basic Finner,1.30,2.60,0,-5.0,Fig 12d,solid symbol - slightly nonlinear
Modified Basic Finner,1.30,4.17,0,-5.0,Fig 12d,solid symbol - slightly nonlinear
Modified Basic Finner,1.50,2.58,0,-5.2,Fig 12e,peak damping magnitude
Modified Basic Finner,1.50,4.13,0,-5.0,Fig 12e,peak damping magnitude
Modified Basic Finner,1.76,4.13,0,-4.5,Fig 12f,
Modified Basic Finner,2.00,2.57,0,-4.0,Fig 12g,triangle
Modified Basic Finner,2.00,4.10,0,-3.8,Fig 12g,circle
Modified Basic Finner,2.25,4.10,0,-3.5,Fig 12h,
Modified Basic Finner,2.50,2.57,0,-3.5,Fig 12i,
Modified Basic Finner,2.50,4.10,0,-3.5,Fig 12i,
Basic Finner,0.22,1.05,0,-17.0,Fig 9a,different fin geometry - rectangular fins
Basic Finner,2.50,1.86,0,-16.0,Fig 9b,spin-down data; also Ref. 2 agreement
Basic Finner,2.50,5.97,0,-16.5,Fig 9b,higher Re spin-up data
