geometry,Mach,CD,CDaxial,pressureCD,frictionCD,baseCD,refLength_m,refArea_m2,forebodyCD,CD_wing_ref,pressureCD_wing_ref,frictionCD_wing_ref,baseCD_wing_ref,forebodyCD_wing_ref,aedcWingArea_m2,aedcBaseArea_m2,orExposedWingArea_m2
AGARD-B,0.200,0.161596,0.161596,0.000656,0.035740,0.125200,0.050000,0.00196350,0.036396,0.018310,0.000074,0.004050,0.014186,0.004124,0.01710345,0.00193796,0.00974250
AGARD-B,0.250,0.165019,0.165019,0.001043,0.035851,0.128125,0.050000,0.00196350,0.036894,0.018698,0.000118,0.004062,0.014518,0.004180,0.01710345,0.00193796,0.00974250
AGARD-B,0.300,0.182896,0.182896,0.001533,0.049663,0.131700,0.050000,0.00196350,0.051196,0.020724,0.000174,0.005627,0.014923,0.005801,0.01710345,0.00193796,0.00974250
AGARD-B,0.350,0.196854,0.196854,0.002141,0.058788,0.135925,0.050000,0.00196350,0.060929,0.022305,0.000243,0.006661,0.015401,0.006904,0.01710345,0.00193796,0.00974250
AGARD-B,0.400,0.208749,0.208749,0.002882,0.065067,0.140800,0.050000,0.00196350,0.067949,0.023653,0.000327,0.007373,0.015954,0.007699,0.01710345,0.00193796,0.00974250
AGARD-B,0.450,0.219605,0.219605,0.003782,0.069498,0.146325,0.050000,0.00196350,0.073280,0.024883,0.000429,0.007875,0.016580,0.008303,0.01710345,0.00193796,0.00974250
AGARD-B,0.500,0.230041,0.230041,0.004871,0.072670,0.152500,0.050000,0.00196350,0.077541,0.026066,0.000552,0.008234,0.017279,0.008786,0.01710345,0.00193796,0.00974250
AGARD-B,0.550,0.240467,0.240467,0.006195,0.074947,0.159325,0.050000,0.00196350,0.081142,0.027247,0.000702,0.008492,0.018053,0.009194,0.01710345,0.00193796,0.00974250
AGARD-B,0.600,0.251185,0.251185,0.007818,0.076567,0.166800,0.050000,0.00196350,0.084385,0.028461,0.000886,0.008676,0.018900,0.009562,0.01710345,0.00193796,0.00974250
AGARD-B,0.650,0.262450,0.262450,0.009834,0.077692,0.174925,0.050000,0.00196350,0.087525,0.029738,0.001114,0.008803,0.019820,0.009917,0.01710345,0.00193796,0.00974250
AGARD-B,0.700,0.274522,0.274522,0.012390,0.078432,0.183700,0.050000,0.00196350,0.090822,0.031106,0.001404,0.008887,0.020815,0.010291,0.01710345,0.00193796,0.00974250
AGARD-B,0.750,0.287725,0.287725,0.015732,0.078868,0.193125,0.050000,0.00196350,0.094600,0.032602,0.001783,0.008936,0.021883,0.010719,0.01710345,0.00193796,0.00974250
AGARD-B,0.800,0.302560,0.302560,0.020302,0.079059,0.203200,0.050000,0.00196350,0.099360,0.034283,0.002300,0.008958,0.023024,0.011258,0.01710345,0.00193796,0.00974250
AGARD-B,0.850,0.319982,0.319982,0.027011,0.079046,0.213925,0.050000,0.00196350,0.106057,0.036257,0.003061,0.008957,0.024239,0.012017,0.01710345,0.00193796,0.00974250
AGARD-B,0.900,0.344120,0.344120,0.038221,0.078863,0.227036,0.050000,0.00196350,0.117084,0.038992,0.004331,0.008936,0.025725,0.013267,0.01710345,0.00193796,0.00974250
AGARD-B,0.950,0.370025,0.370025,0.045401,0.084393,0.240231,0.050000,0.00196350,0.129794,0.041927,0.005144,0.009562,0.027220,0.014707,0.01710345,0.00193796,0.00974250
AGARD-B,1.000,0.395924,0.395924,0.057468,0.089625,0.248830,0.050000,0.00196350,0.147093,0.044861,0.006512,0.010155,0.028194,0.016667,0.01710345,0.00193796,0.00974250
AGARD-B,1.050,0.447121,0.447121,0.102431,0.094690,0.250000,0.050000,0.00196350,0.197121,0.050662,0.011606,0.010729,0.028327,0.022335,0.01710345,0.00193796,0.00974250
AGARD-B,1.100,0.465759,0.465759,0.123314,0.099700,0.242745,0.050000,0.00196350,0.223014,0.052774,0.013972,0.011297,0.027505,0.025269,0.01710345,0.00193796,0.00974250
AGARD-B,1.150,0.460606,0.460606,0.133675,0.099017,0.227913,0.050000,0.00196350,0.232693,0.052190,0.015146,0.011219,0.025824,0.026366,0.01710345,0.00193796,0.00974250
AGARD-B,1.200,0.449636,0.449636,0.143076,0.098366,0.208194,0.050000,0.00196350,0.241442,0.050947,0.016212,0.011146,0.023590,0.027357,0.01710345,0.00193796,0.00974250
AGARD-B,1.250,0.433177,0.433177,0.147316,0.097743,0.188118,0.050000,0.00196350,0.245059,0.049082,0.016692,0.011075,0.021315,0.027767,0.01710345,0.00193796,0.00974250
AGARD-B,1.300,0.422599,0.422599,0.151494,0.097146,0.173959,0.050000,0.00196350,0.248640,0.047884,0.017165,0.011007,0.019711,0.028173,0.01710345,0.00193796,0.00974250
AGARD-B,1.350,0.418464,0.418464,0.155614,0.096573,0.166277,0.050000,0.00196350,0.252187,0.047415,0.017632,0.010942,0.018841,0.028575,0.01710345,0.00193796,0.00974250
AGARD-B,1.400,0.415604,0.415604,0.159682,0.096022,0.159900,0.050000,0.00196350,0.255704,0.047091,0.018093,0.010880,0.018118,0.028973,0.01710345,0.00193796,0.00974250
AGARD-B,1.450,0.410997,0.410997,0.160953,0.095492,0.154552,0.050000,0.00196350,0.256445,0.046569,0.018237,0.010820,0.017512,0.029057,0.01710345,0.00193796,0.00974250
AGARD-B,1.500,0.407185,0.407185,0.162181,0.094981,0.150023,0.050000,0.00196350,0.257162,0.046137,0.018376,0.010762,0.016999,0.029138,0.01710345,0.00193796,0.00974250
