Mach,component,componentClass,componentCategory,instanceCount,CD,pressureCD,frictionCD,baseCD,forebodyCD,CD_wing_ref,pressureCD_wing_ref,frictionCD_wing_ref,baseCD_wing_ref,forebodyCD_wing_ref,wettedArea_m2,planformArea_m2
0.200,Ogive Nose,NoseCone,symmetric_body,1,0.007294,0.000000,0.007294,0.000000,0.007294,0.000826,0.000000,0.000826,0.000000,0.000826,0.01596781,0.00502759
0.200,Delta Wing,TrapezoidFinSet,finset,2,0.009370,0.000656,0.008714,0.000000,0.009370,0.001062,0.000074,0.000987,0.000000,0.001062,0.01948500,0.00974250
0.200,Body Tube,BodyTube,symmetric_body,1,0.144932,0.000000,0.019732,0.125200,0.019732,0.016422,0.000000,0.002236,0.014186,0.002236,0.04319690,0.01375000
0.250,Ogive Nose,NoseCone,symmetric_body,1,0.007317,0.000000,0.007317,0.000000,0.007317,0.000829,0.000000,0.000829,0.000000,0.000829,0.01596781,0.00502759
0.250,Delta Wing,TrapezoidFinSet,finset,2,0.009784,0.001043,0.008741,0.000000,0.009784,0.001109,0.000118,0.000990,0.000000,0.001109,0.01948500,0.00974250
0.250,Body Tube,BodyTube,symmetric_body,1,0.147918,0.000000,0.019793,0.128125,0.019793,0.016760,0.000000,0.002243,0.014518,0.002243,0.04319690,0.01375000
0.300,Ogive Nose,NoseCone,symmetric_body,1,0.010135,0.000000,0.010135,0.000000,0.010135,0.001148,0.000000,0.001148,0.000000,0.001148,0.01596781,0.00502759
0.300,Delta Wing,TrapezoidFinSet,finset,2,0.013642,0.001533,0.012109,0.000000,0.013642,0.001546,0.000174,0.001372,0.000000,0.001546,0.01948500,0.00974250
0.300,Body Tube,BodyTube,symmetric_body,1,0.159119,0.000000,0.027419,0.131700,0.027419,0.018029,0.000000,0.003107,0.014923,0.003107,0.04319690,0.01375000
0.350,Ogive Nose,NoseCone,symmetric_body,1,0.011998,0.000000,0.011998,0.000000,0.011998,0.001359,0.000000,0.001359,0.000000,0.001359,0.01596781,0.00502759
