geometry,Mach,CD,CDaxial,pressureCD,frictionCD,baseCD,refLength_m,refArea_m2
cone_cylinder,0.30,0.390890,0.390890,0.000000,0.259190,0.131700,0.050000,0.00196350
cone_cylinder,0.40,0.398159,0.398159,0.000000,0.257359,0.140800,0.050000,0.00196350
cone_cylinder,0.50,0.407505,0.407505,0.000000,0.255005,0.152500,0.050000,0.00196350
cone_cylinder,0.60,0.418928,0.418928,0.000000,0.252128,0.166800,0.050000,0.00196350
cone_cylinder,0.70,0.432428,0.432428,0.000000,0.248728,0.183700,0.050000,0.00196350
cone_cylinder,0.80,0.448005,0.448005,0.000000,0.244805,0.203200,0.050000,0.00196350
cone_cylinder,0.90,0.472707,0.472707,0.005312,0.240359,0.227036,0.050000,0.00196350
cone_cylinder,1.00,0.640793,0.640793,0.164399,0.227563,0.248830,0.050000,0.00196350
cone_cylinder,1.10,0.691787,0.691787,0.234274,0.214767,0.242745,0.050000,0.00196350
cone_cylinder,1.20,0.616141,0.616141,0.200241,0.207706,0.208194,0.050000,0.00196350
cone_cylinder,1.30,0.530307,0.530307,0.155709,0.200540,0.174059,0.050000,0.00196350
cone_cylinder,1.40,0.479731,0.479731,0.130198,0.193335,0.156198,0.050000,0.00196350
cone_cylinder,1.50,0.443605,0.443605,0.113630,0.186152,0.143823,0.050000,0.00196350
cone_cylinder,1.60,0.421152,0.421152,0.108410,0.179041,0.133700,0.050000,0.00196350
cone_cylinder,1.70,0.401802,0.401802,0.104444,0.172046,0.125313,0.050000,0.00196350
cone_cylinder,1.80,0.384546,0.384546,0.101062,0.165199,0.118284,0.050000,0.00196350
cone_cylinder,1.90,0.368990,0.368990,0.098125,0.158531,0.112335,0.050000,0.00196350
cone_cylinder,2.00,0.354851,0.354851,0.095537,0.152060,0.107253,0.050000,0.00196350
cone_cylinder,2.10,0.341914,0.341914,0.093233,0.145804,0.102877,0.050000,0.00196350
cone_cylinder,2.20,0.330016,0.330016,0.091162,0.139773,0.099081,0.050000,0.00196350
cone_cylinder,2.30,0.319027,0.319027,0.089288,0.133974,0.095765,0.050000,0.00196350
cone_cylinder,2.40,0.308843,0.308843,0.087582,0.128409,0.092852,0.050000,0.00196350
cone_cylinder,2.50,0.299378,0.299378,0.086020,0.123079,0.090278,0.050000,0.00196350
cone_cylinder,2.60,0.290559,0.290559,0.084585,0.117983,0.087991,0.050000,0.00196350
cone_cylinder,2.70,0.282475,0.282475,0.083261,0.113263,0.085951,0.050000,0.00196350
cone_cylinder,2.80,0.274941,0.274941,0.082035,0.108784,0.084121,0.050000,0.00196350
cone_cylinder,2.90,0.267869,0.267869,0.080897,0.104497,0.082474,0.050000,0.00196350
cone_cylinder,3.00,0.261222,0.261222,0.079838,0.100398,0.080986,0.050000,0.00196350
cone_cylinder,3.10,0.254968,0.254968,0.078849,0.096483,0.079636,0.050000,0.00196350
cone_cylinder,3.20,0.249078,0.249078,0.077925,0.092745,0.078408,0.050000,0.00196350
cone_cylinder,3.30,0.243523,0.243523,0.077059,0.089178,0.077287,0.050000,0.00196350
cone_cylinder,3.40,0.238282,0.238282,0.076246,0.085776,0.076260,0.050000,0.00196350
cone_cylinder,3.50,0.233331,0.233331,0.075481,0.082533,0.075317,0.050000,0.00196350
cone_cylinder,3.60,0.228651,0.228651,0.074761,0.079441,0.074449,0.050000,0.00196350
cone_cylinder,3.70,0.224224,0.224224,0.074082,0.076493,0.073648,0.050000,0.00196350
cone_cylinder,3.80,0.220032,0.220032,0.073441,0.073684,0.072907,0.050000,0.00196350
cone_cylinder,3.90,0.216060,0.216060,0.072834,0.071006,0.072220,0.050000,0.00196350
cone_cylinder,4.00,0.212290,0.212290,0.072256,0.068453,0.071582,0.050000,0.00196350
cone_cylinder,4.10,0.208543,0.208543,0.071538,0.066018,0.070987,0.050000,0.00196350
cone_cylinder,4.20,0.204686,0.204686,0.070557,0.063697,0.070432,0.050000,0.00196350
cone_cylinder,4.30,0.200755,0.200755,0.069359,0.061482,0.069914,0.050000,0.00196350
cone_cylinder,4.40,0.196789,0.196789,0.067991,0.059369,0.069428,0.050000,0.00196350
cone_cylinder,4.50,0.192822,0.192822,0.066497,0.057353,0.068973,0.050000,0.00196350
cone_cylinder,4.60,0.188887,0.188887,0.064915,0.055428,0.068545,0.050000,0.00196350
cone_cylinder,4.70,0.185012,0.185012,0.063281,0.053589,0.068142,0.050000,0.00196350
cone_cylinder,4.80,0.181222,0.181222,0.061627,0.051832,0.067763,0.050000,0.00196350
cone_cylinder,4.90,0.177542,0.177542,0.059984,0.050154,0.067405,0.050000,0.00196350
cone_cylinder,5.00,0.174247,0.174247,0.058631,0.048549,0.067066,0.050000,0.00196350
cone_cylinder,5.10,0.171072,0.171072,0.057312,0.047014,0.066746,0.050000,0.00196350
cone_cylinder,5.20,0.167912,0.167912,0.055924,0.045545,0.066443,0.050000,0.00196350
cone_cylinder,5.30,0.164937,0.164937,0.054642,0.044140,0.066155,0.050000,0.00196350
cone_cylinder,5.40,0.162161,0.162161,0.053486,0.042794,0.065882,0.050000,0.00196350
cone_cylinder,5.50,0.159614,0.159614,0.052471,0.041520,0.065622,0.050000,0.00196350
cone_cylinder,5.60,0.157759,0.157759,0.051613,0.040771,0.065375,0.050000,0.00196350
cone_cylinder,5.70,0.156105,0.156105,0.050924,0.040042,0.065139,0.050000,0.00196350
cone_cylinder,5.80,0.154669,0.154669,0.050421,0.039334,0.064914,0.050000,0.00196350
cone_cylinder,5.90,0.153463,0.153463,0.050118,0.038646,0.064699,0.050000,0.00196350
cone_cylinder,6.00,0.152496,0.152496,0.050026,0.037976,0.064494,0.050000,0.00196350
cone_cylinder,6.10,0.151664,0.151664,0.050041,0.037325,0.064298,0.050000,0.00196350
cone_cylinder,6.20,0.150861,0.150861,0.050060,0.036691,0.064110,0.050000,0.00196350
cone_cylinder,6.30,0.150082,0.150082,0.050078,0.036074,0.063930,0.050000,0.00196350
cone_cylinder,6.40,0.149326,0.149326,0.050095,0.035474,0.063757,0.050000,0.00196350
cone_cylinder,6.50,0.148592,0.148592,0.050111,0.034889,0.063591,0.050000,0.00196350
cone_cylinder,6.60,0.147879,0.147879,0.050127,0.034320,0.063432,0.050000,0.00196350
cone_cylinder,6.70,0.147186,0.147186,0.050142,0.033766,0.063279,0.050000,0.00196350
cone_cylinder,6.80,0.146513,0.146513,0.050156,0.033226,0.063131,0.050000,0.00196350
cone_cylinder,6.90,0.145859,0.145859,0.050170,0.032700,0.062990,0.050000,0.00196350
cone_cylinder,7.00,0.145223,0.145223,0.050183,0.032187,0.062853,0.050000,0.00196350
cone_cylinder,7.10,0.144604,0.144604,0.050195,0.031687,0.062721,0.050000,0.00196350
cone_cylinder,7.20,0.144002,0.144002,0.050207,0.031200,0.062594,0.050000,0.00196350
cone_cylinder,7.30,0.143415,0.143415,0.050219,0.030725,0.062471,0.050000,0.00196350
cone_cylinder,7.40,0.142844,0.142844,0.050230,0.030262,0.062353,0.050000,0.00196350
cone_cylinder,7.50,0.142289,0.142289,0.050240,0.029810,0.062238,0.050000,0.00196350
cone_cylinder,7.60,0.141747,0.141747,0.050251,0.029369,0.062127,0.050000,0.00196350
cone_cylinder,7.70,0.141219,0.141219,0.050260,0.028939,0.062020,0.050000,0.00196350
cone_cylinder,7.80,0.140705,0.140705,0.050270,0.028519,0.061916,0.050000,0.00196350
cone_cylinder,7.90,0.140203,0.140203,0.050279,0.028109,0.061815,0.050000,0.00196350
cone_cylinder,8.00,0.139714,0.139714,0.050288,0.027709,0.061718,0.050000,0.00196350
ogive_cylinder,0.30,0.400712,0.400712,0.000000,0.269012,0.131700,0.050000,0.00196350
ogive_cylinder,0.40,0.407912,0.407912,0.000000,0.267112,0.140800,0.050000,0.00196350
