# ORP vs Bhagwandin & Sahu 2013 (ARL-TR-6725) CFD pitch damping comparator
# Geometry: AFF
# Method (paper): planar_pitching, fin cant 0 deg
# CG reference: 0.1440 m (4.800 cal at D=0.030 m)
# pdm_orp_predicted = ORP getCmq() + ORP getCmAlphaDot() (combined)
# delta = pdm_orp_predicted - pdm_bhagwandin_cfd
# delta_pct = delta / pdm_bhagwandin_cfd * 100
# MAPE: 223.48 % over 13/13 points; worst |delta_pct|=570.80 % at M=1.000
mach,pdm_bhagwandin_cfd,pdf_bhagwandin_cfd,cmq_orp,cmadot_orp,pdm_orp_predicted,delta,delta_pct,abs_delta_pct
0.6000,-297.4200,98.5400,-420.7614,-168.3045,-589.0659,-291.6459,98.059,98.059
0.7000,-307.8500,100.5300,-455.5004,-182.2001,-637.7005,-329.8505,107.147,107.147
0.8000,-323.7200,102.9800,-649.7841,-259.9137,-909.6978,-585.9778,181.014,181.014
0.9000,-355.2100,107.5900,-1108.8705,-443.5482,-1552.4187,-1197.2087,337.043,337.043
0.9500,-337.5500,102.1100,-1410.2491,-564.0996,-1974.3487,-1636.7987,484.906,484.906
1.0000,-338.0900,101.7700,-1619.9445,-647.9778,-2267.9223,-1929.8323,570.804,570.804
1.0500,-339.0500,101.3100,-1595.3232,-638.1293,-2233.4525,-1894.4025,558.738,558.738
1.1000,-331.4300,98.9800,-1356.0171,-542.4069,-1898.4240,-1566.9940,472.798,472.798
1.3000,-339.9400,97.1400,-254.4521,-101.7808,-356.2329,-16.2929,4.793,4.793
1.5000,-342.1800,93.6200,-214.8832,-85.9533,-300.8365,41.3435,-12.082,12.082
1.7500,-333.0200,87.0100,-187.9316,-75.1726,-263.1042,69.9158,-20.994,20.994
2.0000,-319.0200,79.6900,-168.4372,-67.3749,-235.8121,83.2079,-26.082,26.082
2.5000,-288.6400,65.6900,-142.6031,-57.0412,-199.6443,88.9957,-30.833,30.833
