# ORP vs Bhagwandin & Sahu 2013 (ARL-TR-6725) CFD pitch damping comparator
# Geometry: ANF
# Method (paper): planar_pitching, fin cant 0 deg
# CG reference: 0.1650 m (5.500 cal at D=0.030 m)
# pdm_orp_predicted = ORP getCmq() + ORP getCmAlphaDot() (combined)
# delta = pdm_orp_predicted - pdm_bhagwandin_cfd
# delta_pct = delta / pdm_bhagwandin_cfd * 100
# MAPE: 50.78 % over 13/13 points; worst |delta_pct|=192.89 % at M=0.930
mach,pdm_bhagwandin_cfd,pdf_bhagwandin_cfd,cmq_orp,cmadot_orp,pdm_orp_predicted,delta,delta_pct,abs_delta_pct
0.5000,-427.8100,141.9000,-310.3443,-124.1377,-434.4820,-6.6720,1.560,1.560
0.7700,-480.2800,152.9500,-412.4495,-164.9798,-577.4293,-97.1493,20.228,20.228
0.9300,-494.3000,151.2100,-1034.1248,-413.6499,-1447.7747,-953.4747,192.894,192.894
1.0800,-478.3500,144.8700,-805.2575,-322.1030,-1127.3605,-649.0105,135.677,135.677
1.1100,-454.4300,138.4800,-602.3750,-240.9500,-843.3250,-388.8950,85.579,85.579
1.2900,-440.1900,132.6200,-248.8135,-99.5254,-348.3389,91.8511,-20.866,20.866
1.5000,-419.5200,123.3300,-205.3266,-82.1307,-287.4573,132.0627,-31.479,31.479
2.0000,-341.9300,95.0200,-161.6292,-64.6517,-226.2808,115.6492,-33.822,33.822
2.5000,-288.8900,73.9900,-137.6587,-55.0635,-192.7222,96.1678,-33.289,33.289
3.0000,-249.3400,57.6500,-122.4892,-48.9957,-171.4849,77.8551,-31.224,31.224
3.5000,-219.9200,45.1300,-111.9895,-44.7958,-156.7853,63.1347,-28.708,28.708
4.0000,-192.5200,34.4800,-104.2837,-41.7135,-145.9972,46.5228,-24.165,24.165
4.5000,-173.5300,26.5200,-98.3912,-39.3565,-137.7477,35.7823,-20.620,20.620
