# BRL Report 1193, Platou (1963) - "The Magnus Force on a Finned Body"
# Digitized from Figures 5-8: Magnus force coefficient Cf vs angle of attack
# Configurations: bare body (no fins) and finned body (body+fins total)
# Two nose shapes tested: spike nose and cone nose (30-deg half-angle)
# Body: 6.647 cal long, 2.0 inch diameter, 4 fins with span = body diameter
# Cf = f / (0.5 * rho * U^2 * pi/4 * d^2 * omega*d/(2U))
# Positive Cf is to left looking upstream; positive alpha is nose up
# Data accuracy ~25% per report (p.14) due to yaw gage sensitivity limitations
# NOTE: fin-alone Magnus = finned_body - bare_body (fin force opposes body force)
#
# Key finding (p.14): "The Magnus force on the fins acts in the opposite direction
# from that on the body, and with the fin configuration tested the fin force is in
# general larger than the body force."
#
Mach,Re_x1e6,nose_shape,config,alpha_deg,Cf_magnus,CT_cg_magnus
# ---- Figure 5: M=1.75, Re=0.71e6 ----
# Spike nose, bare body
1.75,0.71,spike,bare_body,-5,-0.08,0.05
1.75,0.71,spike,bare_body,-4,-0.06,0.03
1.75,0.71,spike,bare_body,-3,-0.05,0.02
1.75,0.71,spike,bare_body,-2,-0.03,0.01
1.75,0.71,spike,bare_body,-1,-0.02,0.00
1.75,0.71,spike,bare_body,0,0.00,0.00
1.75,0.71,spike,bare_body,1,0.02,0.00
1.75,0.71,spike,bare_body,2,0.04,-0.02
1.75,0.71,spike,bare_body,3,0.08,-0.04
1.75,0.71,spike,bare_body,4,0.12,-0.06
1.75,0.71,spike,bare_body,5,0.18,-0.08
# Spike nose, finned body
1.75,0.71,spike,finned_body,-5,0.05,-0.10
1.75,0.71,spike,finned_body,-4,0.04,-0.08
1.75,0.71,spike,finned_body,-3,0.02,-0.04
1.75,0.71,spike,finned_body,-2,0.01,-0.02
1.75,0.71,spike,finned_body,-1,0.00,-0.01
1.75,0.71,spike,finned_body,0,0.00,0.00
1.75,0.71,spike,finned_body,1,-0.01,0.02
1.75,0.71,spike,finned_body,2,-0.02,0.08
1.75,0.71,spike,finned_body,3,-0.02,0.20
