theta_deg,Mach,CD_exp,CD_orp,pressureCD,frictionCD,baseCD,error_pct
8,6.5,0.072,0.109464,0.035913,0.008694,0.064857,52.0
8,6.5,0.085,0.109464,0.035913,0.008694,0.064857,28.8
8,9.0,0.080,0.104410,0.036091,0.006208,0.062111,30.5
8,14.3,0.090,0.099600,0.036127,0.003706,0.059768,10.7
12,6.5,0.125,0.153904,0.080149,0.008898,0.064857,23.1
12,9.0,0.128,0.148984,0.080546,0.006328,0.062111,16.4
12,17.2,0.150,0.142836,0.080626,0.003115,0.059094,-4.8
16,6.5,0.205,0.216465,0.140869,0.010739,0.064857,5.6
16,9.0,0.198,0.211314,0.141567,0.007636,0.062111,6.7
16,14.3,0.222,0.206138,0.141708,0.004663,0.059768,-7.1
16,17.2,0.227,0.204606,0.141708,0.003804,0.059094,-9.9
