geometry,Mach,CD,CDaxial,pressureCD,frictionCD,baseCD,refLength_m,refArea_m2
AGARD-B,0.200,0.736596,0.736596,0.000656,0.610740,0.125200,0.050000,0.00196350
AGARD-B,0.250,0.738528,0.738528,0.001043,0.609360,0.128125,0.050000,0.00196350
AGARD-B,0.300,0.740907,0.740907,0.001533,0.607674,0.131700,0.050000,0.00196350
AGARD-B,0.350,0.743747,0.743747,0.002141,0.605681,0.135925,0.050000,0.00196350
AGARD-B,0.400,0.747064,0.747064,0.002882,0.603382,0.140800,0.050000,0.00196350
AGARD-B,0.450,0.750883,0.750883,0.003782,0.600776,0.146325,0.050000,0.00196350
AGARD-B,0.500,0.755234,0.755234,0.004871,0.597863,0.152500,0.050000,0.00196350
AGARD-B,0.550,0.760164,0.760164,0.006195,0.594644,0.159325,0.050000,0.00196350
AGARD-B,0.600,0.765736,0.765736,0.007818,0.591118,0.166800,0.050000,0.00196350
AGARD-B,0.650,0.772044,0.772044,0.009834,0.587285,0.174925,0.050000,0.00196350
AGARD-B,0.700,0.779236,0.779236,0.012390,0.583146,0.183700,0.050000,0.00196350
AGARD-B,0.750,0.787557,0.787557,0.015732,0.578701,0.193125,0.050000,0.00196350
AGARD-B,0.800,0.797450,0.797450,0.020302,0.573948,0.203200,0.050000,0.00196350
AGARD-B,0.850,0.809826,0.809826,0.027011,0.568890,0.213925,0.050000,0.00196350
AGARD-B,0.900,0.828875,0.828875,0.038315,0.563524,0.227036,0.050000,0.00196350
AGARD-B,0.950,0.830890,0.830890,0.035675,0.554985,0.240231,0.050000,0.00196350
AGARD-B,1.000,0.829051,0.829051,0.034270,0.545950,0.248830,0.050000,0.00196350
AGARD-B,1.050,0.879895,0.879895,0.093371,0.536524,0.250000,0.050000,0.00196350
AGARD-B,1.100,0.881853,0.881853,0.112281,0.526826,0.242745,0.050000,0.00196350
AGARD-B,1.150,0.849746,0.849746,0.101816,0.520017,0.227913,0.050000,0.00196350
AGARD-B,1.200,0.798523,0.798523,0.077239,0.513090,0.208194,0.050000,0.00196350
AGARD-B,1.250,0.746407,0.746407,0.052227,0.506062,0.188118,0.050000,0.00196350
AGARD-B,1.300,0.713623,0.713623,0.040615,0.498949,0.174059,0.050000,0.00196350
AGARD-B,1.350,0.698558,0.698558,0.040735,0.491765,0.166058,0.050000,0.00196350
AGARD-B,1.400,0.684192,0.684192,0.040768,0.484526,0.158898,0.050000,0.00196350
AGARD-B,1.450,0.671529,0.671529,0.041817,0.477246,0.152466,0.050000,0.00196350
AGARD-B,1.500,0.666571,0.666571,0.049968,0.469937,0.146667,0.050000,0.00196350
