geometry,Mach,CD,CDaxial,pressureCD,frictionCD,baseCD,refLength_m,refArea_m2
cone_cylinder,0.30,0.922582,0.922582,0.000000,0.790882,0.131700,0.050000,0.00196350
cone_cylinder,0.40,0.926096,0.926096,0.000000,0.785296,0.140800,0.050000,0.00196350
cone_cylinder,0.50,0.930613,0.930613,0.000000,0.778113,0.152500,0.050000,0.00196350
cone_cylinder,0.60,0.936134,0.936134,0.000000,0.769334,0.166800,0.050000,0.00196350
cone_cylinder,0.70,0.942660,0.942660,0.000000,0.758960,0.183700,0.050000,0.00196350
cone_cylinder,0.80,0.950189,0.950189,0.000000,0.746989,0.203200,0.050000,0.00196350
cone_cylinder,0.90,0.965770,0.965770,0.005312,0.733421,0.227036,0.050000,0.00196350
cone_cylinder,1.00,1.123779,1.123779,0.164399,0.710549,0.248830,0.050000,0.00196350
cone_cylinder,1.10,1.162679,1.162679,0.234274,0.685660,0.242745,0.050000,0.00196350
cone_cylinder,1.20,1.076216,1.076216,0.200241,0.667782,0.208194,0.050000,0.00196350
cone_cylinder,1.30,0.979145,0.979145,0.155709,0.649377,0.174059,0.050000,0.00196350
cone_cylinder,1.40,0.919702,0.919702,0.130198,0.630607,0.158898,0.050000,0.00196350
cone_cylinder,1.50,0.871915,0.871915,0.113630,0.611618,0.146667,0.050000,0.00196350
cone_cylinder,1.60,0.837612,0.837612,0.108410,0.592545,0.136656,0.050000,0.00196350
cone_cylinder,1.70,0.806311,0.806311,0.104444,0.573507,0.128360,0.050000,0.00196350
cone_cylinder,1.80,0.777077,0.777077,0.101062,0.554608,0.121407,0.050000,0.00196350
cone_cylinder,1.90,0.749586,0.749586,0.098125,0.535937,0.115524,0.050000,0.00196350
cone_cylinder,2.00,0.723609,0.723609,0.095537,0.517572,0.110500,0.050000,0.00196350
cone_cylinder,2.10,0.698984,0.698984,0.093233,0.499574,0.106177,0.050000,0.00196350
cone_cylinder,2.20,0.675589,0.675589,0.091162,0.481997,0.102430,0.050000,0.00196350
cone_cylinder,2.30,0.653327,0.653327,0.089288,0.464879,0.099161,0.050000,0.00196350
cone_cylinder,2.40,0.632125,0.632125,0.087582,0.448252,0.096292,0.050000,0.00196350
cone_cylinder,2.50,0.611918,0.611918,0.086020,0.432138,0.093760,0.050000,0.00196350
cone_cylinder,2.60,0.592653,0.592653,0.084585,0.416553,0.091515,0.050000,0.00196350
cone_cylinder,2.70,0.574280,0.574280,0.083261,0.401504,0.089514,0.050000,0.00196350
cone_cylinder,2.80,0.556756,0.556756,0.082035,0.386996,0.087724,0.050000,0.00196350
cone_cylinder,2.90,0.540041,0.540041,0.080897,0.373027,0.086117,0.050000,0.00196350
cone_cylinder,3.00,0.524096,0.524096,0.079838,0.359591,0.084667,0.050000,0.00196350
