M1,theta_deg,beta_ref_deg,beta_orp_deg,abs_error_deg,rel_error_pct
2.00,10.00,39.310000,39.313932,0.003932,0.010002
2.00,15.00,45.340000,45.343617,0.003617,0.007977
2.00,20.00,53.420000,53.422941,0.002941,0.005505
3.00,5.00,23.130000,23.133257,0.003257,0.014083
3.00,10.00,27.380000,27.382691,0.002691,0.009827
3.00,20.00,37.760000,37.763634,0.003634,0.009624
3.00,25.00,44.140000,44.135929,0.004071,0.009223
5.00,10.00,19.380000,19.376011,0.003989,0.020586
5.00,20.00,29.800000,29.800916,0.000916,0.003072
5.00,30.00,42.340000,42.344265,0.004265,0.010073
5.00,35.00,49.860000,49.855429,0.004571,0.009168
