# NACA TN 3788 - Tobak & Wehrend (1956)
# "Stability Derivatives of Cones at Supersonic Speeds"
# Digitized from Figures 1-3 (First and second order, exact Cp curves)
# Pitching axis at body apex (x_0 = 0)
# tau = R(l)/l = tan(half_angle) = cone thickness ratio
# CNq = dCN/d(ql/V), Cmq = -(3/4)(1+tau^2)*CNq (eq. 45/53)
# CNa_dot = dCN/d(alpha_dot*l/V), from Figure 3
# Slender-body limits: CNq -> 2.0, CNa_dot -> 2/3 (eqs. 46, 51)
# Newtonian limits: CNq -> 4/3, CNa_dot -> 0 (eq. 70)
#
half_angle_deg,Mach,CNa,CNq,CNa_dot,source
# 10-degree cone (tau = tan(10°) = 0.1763)
10,1.5,1.92,1.65,0.38,Fig1+Fig2+Fig3
10,2.0,1.72,1.35,0.28,Fig1+Fig2+Fig3
10,2.5,1.55,1.18,0.22,Fig1+Fig2+Fig3
10,3.0,1.42,1.08,0.17,Fig1+Fig2+Fig3
10,3.5,1.33,1.02,0.14,Fig1+Fig2+Fig3
10,4.0,1.25,0.98,0.11,Fig1+Fig2+Fig3
10,5.0,1.15,0.93,0.07,Fig1+Fig2+Fig3
10,6.0,1.08,0.90,0.05,Fig1+Fig2+Fig3
# 20-degree cone (tau = tan(20°) = 0.3640)
20,1.2,1.50,1.50,0.15,Fig1+Fig2+Fig3
20,1.5,1.42,1.30,0.12,Fig1+Fig2+Fig3
20,2.0,1.28,1.10,0.08,Fig1+Fig2+Fig3
20,2.5,1.18,0.95,0.06,Fig1+Fig2+Fig3
20,3.0,1.12,0.85,0.04,Fig1+Fig2+Fig3
20,3.5,1.08,0.80,0.03,Fig1+Fig2+Fig3
