configuration_id,Mach,Re_millions,CNa_per_rad,CNa_per_deg,xcp_m,xcp_over_d_from_juncture,cd_forebody,cd_total
NSCFB,0.60,0.380,4.492237,0.078404,0.101355,1.192282,0.025425,0.405282
NSCFB,0.80,0.380,4.671755,0.081538,0.103849,1.270841,0.029981,0.452093
NSCFB,0.90,0.380,4.808564,0.083925,0.105596,1.325848,0.047860,0.515211
NSCFB,1.20,0.380,4.162484,0.072649,0.100375,1.161427,0.402422,0.943699
NSCFB,1.50,0.490,3.787541,0.066105,0.095212,0.998796,0.306674,0.598118
NSCFB,2.00,0.490,3.305519,0.057692,0.086759,0.732579,0.268763,0.633767
NSCFB,3.00,0.490,3.021946,0.052743,0.080509,0.535731,0.233405,0.434522
NSCFB,4.06,0.490,2.814393,0.049120,0.075051,0.363817,0.210860,0.320956
NSCFB,5.11,0.350,2.697915,0.047087,0.071607,0.255323,0.183703,0.266747
NSCFB,5.82,0.180,2.649245,0.046238,0.070076,0.207104,0.174913,0.234415
