metric,Mach,AoA_deg,observed,predicted,error_abs,error_pct
C_N,0.6,0.0,0.078,0.078404,0.0004040000000000016,0.5179487179487199
C_N,0.8,0.0,0.081,0.081538,0.0005379999999999968,0.6641975308641935
C_N,0.9,0.0,0.083,0.083925,0.0009249999999999953,1.1144578313252955
C_N,1.2,0.0,0.072,0.072649,0.0006490000000000107,0.9013888888889038
C_N,1.5,0.0,0.063,0.066105,0.0031049999999999967,4.9285714285714235
C_N,2.0,0.0,0.055,0.057692,0.002692,4.8945454545454545
C_N,3.0,0.0,0.05,0.054315,0.004314999999999999,8.629999999999999
C_N,4.06,0.0,0.048,0.054315,0.006315000000000001,13.156250000000004
C_N,5.11,0.0,0.047,0.054315,0.007315000000000002,15.563829787234045
C_N,5.82,0.0,0.046,0.054315,0.008315000000000003,18.076086956521745
X_CP_d,0.6,0.0,1.15,1.192282,0.04228200000000015,3.6766956521739265
X_CP_d,0.8,0.0,1.25,1.270841,0.02084100000000011,1.6672800000000088
X_CP_d,0.9,0.0,1.28,1.325848,0.04584799999999989,3.5818749999999913
X_CP_d,1.2,0.0,1.05,1.161427,0.11142699999999994,10.612095238095232
X_CP_d,1.5,0.0,0.92,0.998796,0.07879599999999998,8.56478260869565
X_CP_d,2.0,0.0,0.72,0.732579,0.012579000000000007,1.7470833333333344
X_CP_d,3.0,0.0,0.58,0.603838,0.023838000000000026,4.110000000000005
X_CP_d,4.06,0.0,0.55,0.605842,0.05584199999999995,10.1530909090909
X_CP_d,5.11,0.0,0.54,0.606898,0.06689800000000001,12.38851851851852
X_CP_d,5.82,0.0,0.53,0.607364,0.07736399999999999,14.596981132075468
