mach,alt_km,T_K,p_Pa,Cd_handbook_Case1,Cd_handbook_Case3,Cd_ORP,Cd_fric_ORP,Cd_press_ORP,Cd_base_ORP,deficit_Case1
1.00,150.0,187.9,0.4,0.930,1.260,0.993,0.5859,0.1648,0.2418,-0.063
1.25,145.0,187.9,0.4,0.841,1.116,1.050,0.6168,0.1871,0.2462,-0.209
1.50,140.0,187.9,0.4,0.785,1.028,0.928,0.5804,0.2010,0.1467,-0.143
1.75,135.0,187.9,0.4,0.740,0.966,0.877,0.5421,0.2100,0.1247,-0.137
2.00,130.0,187.9,0.4,0.704,0.924,0.831,0.5043,0.2161,0.1105,-0.127
2.50,120.0,187.9,0.4,0.643,0.860,0.751,0.4337,0.2237,0.0938,-0.108
3.00,100.0,187.9,0.4,0.590,0.803,0.685,0.3720,0.2279,0.0847,-0.095
3.50,80.0,198.6,1.1,0.544,0.754,0.630,0.3198,0.2305,0.0792,-0.086
4.00,60.0,247.0,22.0,0.507,0.714,0.463,0.1556,0.2322,0.0756,0.044
4.50,50.0,270.7,79.8,0.479,0.684,0.413,0.1067,0.2333,0.0732,0.066
5.00,40.0,250.3,287.3,0.454,0.656,0.378,0.0721,0.2342,0.0714,0.076
5.50,35.0,236.5,574.9,0.432,0.631,0.361,0.0566,0.2348,0.0701,0.071
6.00,30.0,226.5,1197.4,0.412,0.608,0.349,0.0445,0.2352,0.0692,0.063
6.50,28.0,224.5,1616.7,0.396,0.590,0.343,0.0387,0.2356,0.0684,0.053
7.00,26.0,222.5,2189.1,0.388,0.578,0.338,0.0339,0.2359,0.0678,0.050
7.50,25.0,221.6,2550.0,0.384,0.574,0.334,0.0308,0.2361,0.0673,0.050
8.00,24.0,220.6,2972.7,0.384,0.574,0.331,0.0280,0.2363,0.0669,0.053
