mach,cp_max_naca1135,cp_max_orp,abs_error,rel_error_pct
1.00,1.27561308,1.27561308,0.00e+00,0.000000
1.10,1.33748214,1.33748214,0.00e+00,0.000000
1.20,1.39633097,1.39633097,1.33e-15,0.000000
1.30,1.44851533,1.44851533,2.22e-16,0.000000
1.40,1.49361184,1.49361184,0.00e+00,0.000000
1.50,1.53223795,1.53223795,1.33e-15,0.000000
1.60,1.56527457,1.56527457,4.44e-16,0.000000
1.80,1.61795219,1.61795219,8.88e-16,0.000000
2.00,1.65730029,1.65730029,4.44e-16,0.000000
2.50,1.72025963,1.72025963,4.44e-16,0.000000
3.00,1.75570868,1.75570868,0.00e+00,0.000000
4.00,1.79179295,1.79179295,0.00e+00,0.000000
5.00,1.80876996,1.80876996,0.00e+00,0.000000
7.00,1.82369173,1.82369173,8.88e-16,0.000000
10.00,1.83167098,1.83167098,4.44e-16,0.000000
