rocket,cdx1,real_ft,rasaero_ft,orp_ft,orp_err_pct,delta_vs_rasaero_pct,max_mach,burnout_time_s,apogee_time_s,ground_hit_time_s,terminal_note,loader_warning_count,sim_warning_count,ignored_setting_flags,report_md,trajectory_csv,component_cd_csv
"Byrum","Byrum.CDX1",5732,5281,6161,7.4912,16.6710,0.7474,2.05200000,17.64850000,130.01583890,"NORMAL",0,1,"","build/reports/simvreal-outliers/Byrum.md","build/reports/simvreal-outliers/Byrum-trajectory.csv","build/reports/simvreal-outliers/Byrum-component-cd.csv"
"Cancer Descending","CancerDescending.CDX1",6188,6328,6044,-2.3263,-4.4873,0.5561,4.40000000,19.90000000,90.39165710,"NORMAL",0,1,"","build/reports/simvreal-outliers/CancerDescending.md","build/reports/simvreal-outliers/CancerDescending-trajectory.csv","build/reports/simvreal-outliers/CancerDescending-component-cd.csv"
"EZI-65 J450ST","EZI65-1.CDX1",3965,4214,4158,4.8738,-1.3231,0.5966,2.33000000,15.48000000,93.68354007,"NORMAL",0,1,"","build/reports/simvreal-outliers/EZI65-1.md","build/reports/simvreal-outliers/EZI65-1-trajectory.csv","build/reports/simvreal-outliers/EZI65-1-component-cd.csv"
"Gibb","Gibb.CDX1",3913,4205,3989,1.9402,-5.1387,0.5460,1.80300000,14.93175000,88.30906057,"NORMAL",0,1,"","build/reports/simvreal-outliers/Gibb.md","build/reports/simvreal-outliers/Gibb-trajectory.csv","build/reports/simvreal-outliers/Gibb-component-cd.csv"
"Ion Drive","IonDrive.CDX1",8027,8642,7730,-3.7052,-10.5579,0.7856,3.35600000,20.45600000,141.01944826,"NORMAL",0,1,"","build/reports/simvreal-outliers/IonDrive.md","build/reports/simvreal-outliers/IonDrive-trajectory.csv","build/reports/simvreal-outliers/IonDrive-component-cd.csv"
"Raven","Raven.CDX1",8815,9332,9489,7.6413,1.6779,1.0688,2.05200000,21.34850000,135.26972387,"NORMAL",0,1,"","build/reports/simvreal-outliers/Raven.md","build/reports/simvreal-outliers/Raven-trajectory.csv","build/reports/simvreal-outliers/Raven-component-cd.csv"
"Thunder & Lightning","Thunder&Lightning.CDX1",3577,3989,3877,8.3739,-2.8194,0.5430,1.80300000,14.68175000,89.89674208,"NORMAL",0,1,"","build/reports/simvreal-outliers/Thunder_Lightning.md","build/reports/simvreal-outliers/Thunder_Lightning-trajectory.csv","build/reports/simvreal-outliers/Thunder_Lightning-component-cd.csv"
"Blister","Blister.CDX1",9026,8301,8268,-8.3989,-0.3985,0.8307,2.20000000,21.70232523,75.18680330,"NORMAL",1,1,"SustainerNozzle=1.3125","build/reports/simvreal-outliers/Blister.md","build/reports/simvreal-outliers/Blister-trajectory.csv","build/reports/simvreal-outliers/Blister-component-cd.csv"
"Rabia","Rabia.CDX1",12745,12197,11913,-6.5266,-2.3269,1.1439,3.39000000,25.29000000,154.14957383,"NORMAL",1,1,"SustainerNozzle=1.188","build/reports/simvreal-outliers/Rabia.md","build/reports/simvreal-outliers/Rabia-trajectory.csv","build/reports/simvreal-outliers/Rabia-component-cd.csv"
"Rabia Short Fin Can","Rabia-ShortFinCan.CDX1",10584,10225,9916,-6.3116,-3.0222,0.8608,3.77000000,23.70873107,130.92786907,"NORMAL",1,1,"SustainerNozzle=1.187","build/reports/simvreal-outliers/Rabia-ShortFinCan.md","build/reports/simvreal-outliers/Rabia-ShortFinCan-trajectory.csv","build/reports/simvreal-outliers/Rabia-ShortFinCan-component-cd.csv"
