mutation,rocket,cdx1,real_ft,rasaero_ft,baseline_orp_ft,mutated_orp_ft,baseline_err_pct,mutated_err_pct,delta_err_pp,delta_ft,baseline_mach,mutated_mach,terminal,notes
"baseline_current","Don't Debate This","DontDebateThisN5800MinDia.CDX1",56573,61982,53150.010,53150.010,-6.0506,-6.0506,0.0000,0.000,3.0363,3.0363,"NORMAL","current production model"
"baseline_current","Qu8k","Qu8k.CDX1",121478,119684,119186.866,119186.866,-1.8860,-1.8860,0.0000,0.000,3.4639,3.4639,"NORMAL","current production model"
"baseline_current","Proteus 6","Proteus6.CDX1",85067,81499,91338.509,91338.509,7.3724,7.3724,0.0000,0.000,2.8664,2.8664,"NORMAL","current production model"
"baseline_current","Full Metal Jacket BALLS 005","Full Metal Jacket1.CDX1",37981,38772,37256.478,37256.478,-1.9076,-1.9076,0.0000,0.000,2.3058,2.3058,"NORMAL","current production model"
"baseline_current","A-601 Kinsel","Kinsel_P4935_A-601_Rocket.CDX1",42771,41098,46499.309,46499.309,8.7169,8.7169,0.0000,0.000,2.1851,2.1851,"NORMAL","current production model"
"baseline_current","AeroPac 104K","AeroPac104KStageOne&Two-2.CDX1",104659,113786,103602.294,103602.294,-1.0097,-1.0097,0.0000,0.000,3.0355,3.0355,"NORMAL","current production model"
"no_nozzle_pressure_thrust","Don't Debate This","DontDebateThisN5800MinDia.CDX1",56573,61982,53150.010,52678.202,-6.0506,-6.8846,-0.8340,-471.808,3.0363,3.0222,"NORMAL","stage nozzle diameters cleared"
"force_turbulent_bl_off","Don't Debate This","DontDebateThisN5800MinDia.CDX1",56573,61982,53150.010,53150.010,-6.0506,-6.0506,-0.0000,-0.000,3.0363,3.0363,"NORMAL","RASAero Turbulence=True disabled"
"no_nozzle_pressure_thrust","Qu8k","Qu8k.CDX1",121478,119684,119186.866,111430.126,-1.8860,-8.2714,-6.3853,-7756.740,3.4639,3.3914,"NORMAL","stage nozzle diameters cleared"
"force_turbulent_bl_off","Qu8k","Qu8k.CDX1",121478,119684,119186.866,119186.866,-1.8860,-1.8860,0.0000,0.000,3.4639,3.4639,"NORMAL","RASAero Turbulence=True disabled"
"no_nozzle_pressure_thrust","Proteus 6","Proteus6.CDX1",85067,81499,91338.509,86808.324,7.3724,2.0470,-5.3254,-4530.185,2.8664,2.8058,"NORMAL","stage nozzle diameters cleared"
"no_nozzle_pressure_thrust","Full Metal Jacket BALLS 005","Full Metal Jacket1.CDX1",37981,38772,37256.478,37202.772,-1.9076,-2.0490,-0.1414,-53.706,2.3058,2.3035,"NORMAL","stage nozzle diameters cleared"
"no_nozzle_pressure_thrust","A-601 Kinsel","Kinsel_P4935_A-601_Rocket.CDX1",42771,41098,46499.309,45207.258,8.7169,5.6961,-3.0209,-1292.051,2.1851,2.1353,"NORMAL","stage nozzle diameters cleared"
"force_turbulent_bl_off","A-601 Kinsel","Kinsel_P4935_A-601_Rocket.CDX1",42771,41098,46499.309,46499.309,8.7169,8.7169,-0.0000,-0.000,2.1851,2.1851,"NORMAL","RASAero Turbulence=True disabled"
"no_nozzle_pressure_thrust","AeroPac 104K","AeroPac104KStageOne&Two-2.CDX1",104659,113786,103602.294,89444.053,-1.0097,-14.5376,-13.5280,-14158.240,3.0355,2.8376,"NORMAL","stage nozzle diameters cleared"
"force_turbulent_bl_off","AeroPac 104K","AeroPac104KStageOne&Two-2.CDX1",104659,113786,103602.294,103602.294,-1.0097,-1.0097,0.0000,0.000,3.0355,3.0355,"NORMAL","RASAero Turbulence=True disabled"
