mutation,rocket,cdx1,real_ft,rasaero_ft,baseline_orp_ft,mutated_orp_ft,baseline_err_pct,mutated_err_pct,delta_err_pp,delta_ft,baseline_mach,mutated_mach,baseline_terminal,mutated_terminal,notes
"baseline_current","Byrum","Byrum.CDX1",5732,5281,6161.393,6161.393,7.4912,7.4912,0.0000,0.000,0.7474,0.7474,"NORMAL","NORMAL","current production model"
"baseline_current","Cancer Descending","CancerDescending.CDX1",6188,6328,6044.047,6044.047,-2.3263,-2.3263,0.0000,0.000,0.5561,0.5561,"NORMAL","NORMAL","current production model"
"baseline_current","EZI-65 J450ST","EZI65-1.CDX1",3965,4214,4158.246,4158.246,4.8738,4.8738,0.0000,0.000,0.5966,0.5966,"NORMAL","NORMAL","current production model"
"baseline_current","Gibb","Gibb.CDX1",3913,4205,3988.919,3988.919,1.9402,1.9402,0.0000,0.000,0.5460,0.5460,"NORMAL","NORMAL","current production model"
"baseline_current","Ion Drive","IonDrive.CDX1",8027,8642,7729.584,7729.584,-3.7052,-3.7052,0.0000,0.000,0.7856,0.7856,"NORMAL","NORMAL","current production model"
"baseline_current","Raven","Raven.CDX1",8815,9332,9488.583,9488.583,7.6413,7.6413,0.0000,0.000,1.0688,1.0688,"NORMAL","NORMAL","current production model"
"baseline_current","Thunder & Lightning","Thunder&Lightning.CDX1",3577,3989,3876.533,3876.533,8.3739,8.3739,0.0000,0.000,0.5430,0.5430,"NORMAL","NORMAL","current production model"
"baseline_current","Blister","Blister.CDX1",9026,8301,8267.917,8267.917,-8.3989,-8.3989,0.0000,0.000,0.8307,0.8307,"NORMAL","NORMAL","current production model"
"baseline_current","Rabia","Rabia.CDX1",12745,12197,11913.186,11913.186,-6.5266,-6.5266,0.0000,0.000,1.1439,1.1439,"NORMAL","NORMAL","current production model"
"baseline_current","Rabia Short Fin Can","Rabia-ShortFinCan.CDX1",10584,10225,9915.976,9915.976,-6.3116,-6.3116,0.0000,0.000,0.8608,0.8608,"NORMAL","NORMAL","current production model"
"baseline_current","Torrent","Torrent.CDX1",12807,13717,12454.703,12454.703,-2.7508,-2.7508,0.0000,0.000,1.2190,1.2190,"NORMAL","NORMAL","current production model"
"baseline_current","Caliber Isp 04 Team 3","CalIsp1.CDX1",3964,3876,3888.778,3888.778,-1.8976,-1.8976,0.0000,0.000,0.6357,0.6357,"NORMAL","NORMAL","current production model"
"baseline_current","Caliber Isp 04 Team 1","CalIsp2.CDX1",3837,3948,3960.237,3960.237,3.2118,3.2118,0.0000,0.000,0.6628,0.6628,"NORMAL","NORMAL","current production model"
"baseline_current","Caliber Isp 04 Team 2","CalIsp3.CDX1",3710,3876,3890.079,3890.079,4.8539,4.8539,0.0000,0.000,0.6379,0.6379,"NORMAL","NORMAL","current production model"
"baseline_current","Caliber Isp 05 Columbia","CalIsp4.CDX1",5085,4847,4777.135,4777.135,-6.0544,-6.0544,0.0000,0.000,0.8431,0.8431,"NORMAL","NORMAL","current production model"
"baseline_current","Caliber Isp 05 Discovery","CalIsp5.CDX1",4930,4836,4772.304,4772.304,-3.1987,-3.1987,0.0000,0.000,0.8076,0.8076,"NORMAL","NORMAL","current production model"
"baseline_current","Kline-Rogers L500","L500Roc.CDX1",24771,26509,24178.638,24178.638,-2.3914,-2.3914,0.0000,0.000,1.9848,1.9848,"NORMAL","NORMAL","current production model"
"baseline_current","Don't Debate This","DontDebateThisN5800MinDia.CDX1",56573,61982,53150.010,53150.010,-6.0506,-6.0506,0.0000,0.000,3.0363,3.0363,"NORMAL","NORMAL","current production model"
"baseline_current","Qu8k","Qu8k.CDX1",121478,119684,119186.866,119186.866,-1.8860,-1.8860,0.0000,0.000,3.4639,3.4639,"NORMAL","NORMAL","current production model"
"baseline_current","Proteus 6","Proteus6.CDX1",85067,81499,91338.509,91338.509,7.3724,7.3724,0.0000,0.000,2.8664,2.8664,"NORMAL","NORMAL","current production model"
"baseline_current","Full Metal Jacket BALLS 005","Full Metal Jacket1.CDX1",37981,38772,37256.478,37256.478,-1.9076,-1.9076,0.0000,0.000,2.3058,2.3058,"NORMAL","NORMAL","current production model"
"baseline_current","Full Metal Jacket Black Rock 6","Full Metal Jacket2.CDX1",30038,32548,29238.584,29238.584,-2.6614,-2.6614,0.0000,0.000,2.4649,2.4649,"NORMAL","NORMAL","current production model"
"baseline_current","A-601 Kinsel","Kinsel_P4935_A-601_Rocket.CDX1",42771,41098,46499.309,46499.309,8.7169,8.7169,0.0000,0.000,2.1851,2.1851,"NORMAL","NORMAL","current production model"
"baseline_current","AeroPac 104K","AeroPac104KStageOne&Two-2.CDX1",104659,113786,103602.294,103602.294,-1.0097,-1.0097,0.0000,0.000,3.0355,3.0355,"NORMAL","NORMAL","current production model"
"no_shockgeometry","Byrum","Byrum.CDX1",5732,5281,6161.393,6161.393,7.4912,7.4912,0.0000,0.000,0.7474,0.7474,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Cancer Descending","CancerDescending.CDX1",6188,6328,6044.047,6044.047,-2.3263,-2.3263,0.0000,0.000,0.5561,0.5561,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","EZI-65 J450ST","EZI65-1.CDX1",3965,4214,4158.246,4158.246,4.8738,4.8738,0.0000,0.000,0.5966,0.5966,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Gibb","Gibb.CDX1",3913,4205,3988.919,3988.919,1.9402,1.9402,0.0000,0.000,0.5460,0.5460,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Ion Drive","IonDrive.CDX1",8027,8642,7729.584,7729.584,-3.7052,-3.7052,0.0000,0.000,0.7856,0.7856,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Raven","Raven.CDX1",8815,9332,9488.583,9488.583,7.6413,7.6413,-0.0000,-0.000,1.0688,1.0688,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Thunder & Lightning","Thunder&Lightning.CDX1",3577,3989,3876.533,3876.533,8.3739,8.3739,0.0000,0.000,0.5430,0.5430,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Blister","Blister.CDX1",9026,8301,8267.917,8267.917,-8.3989,-8.3989,-0.0000,-0.000,0.8307,0.8307,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Rabia","Rabia.CDX1",12745,12197,11913.186,11913.187,-6.5266,-6.5266,0.0000,0.001,1.1439,1.1439,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Rabia Short Fin Can","Rabia-ShortFinCan.CDX1",10584,10225,9915.976,9915.976,-6.3116,-6.3116,-0.0000,-0.000,0.8608,0.8608,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Torrent","Torrent.CDX1",12807,13717,12454.703,12454.452,-2.7508,-2.7528,-0.0020,-0.252,1.2190,1.2190,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Caliber Isp 04 Team 3","CalIsp1.CDX1",3964,3876,3888.778,3888.778,-1.8976,-1.8976,0.0000,0.000,0.6357,0.6357,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Caliber Isp 04 Team 1","CalIsp2.CDX1",3837,3948,3960.237,3960.237,3.2118,3.2118,0.0000,0.000,0.6628,0.6628,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Caliber Isp 04 Team 2","CalIsp3.CDX1",3710,3876,3890.079,3890.079,4.8539,4.8539,0.0000,0.000,0.6379,0.6379,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Caliber Isp 05 Columbia","CalIsp4.CDX1",5085,4847,4777.135,4777.135,-6.0544,-6.0544,0.0000,0.000,0.8431,0.8431,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Caliber Isp 05 Discovery","CalIsp5.CDX1",4930,4836,4772.304,4772.304,-3.1987,-3.1987,0.0000,0.000,0.8076,0.8076,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Kline-Rogers L500","L500Roc.CDX1",24771,26509,24178.638,24177.220,-2.3914,-2.3971,-0.0057,-1.419,1.9848,1.9847,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Don't Debate This","DontDebateThisN5800MinDia.CDX1",56573,61982,53150.010,53150.037,-6.0506,-6.0505,0.0000,0.028,3.0363,3.0364,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Qu8k","Qu8k.CDX1",121478,119684,119186.866,119186.979,-1.8860,-1.8860,0.0001,0.112,3.4639,3.4639,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Proteus 6","Proteus6.CDX1",85067,81499,91338.509,91366.711,7.3724,7.4056,0.0332,28.202,2.8664,2.8664,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Full Metal Jacket BALLS 005","Full Metal Jacket1.CDX1",37981,38772,37256.478,37256.480,-1.9076,-1.9076,0.0000,0.002,2.3058,2.3058,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","Full Metal Jacket Black Rock 6","Full Metal Jacket2.CDX1",30038,32548,29238.584,30328.915,-2.6614,0.9685,3.6298,1090.331,2.4649,2.4657,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","A-601 Kinsel","Kinsel_P4935_A-601_Rocket.CDX1",42771,41098,46499.309,46499.309,8.7169,8.7169,0.0000,0.000,2.1851,2.1851,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_shockgeometry","AeroPac 104K","AeroPac104KStageOne&Two-2.CDX1",104659,113786,103602.294,103605.058,-1.0097,-1.0070,0.0026,2.764,3.0355,3.0355,"NORMAL","NORMAL","ShockGeometry pre-pass disabled"
"no_pnk","Byrum","Byrum.CDX1",5732,5281,6161.393,6161.393,7.4912,7.4912,0.0000,0.000,0.7474,0.7474,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Cancer Descending","CancerDescending.CDX1",6188,6328,6044.047,6044.047,-2.3263,-2.3263,0.0000,0.000,0.5561,0.5561,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","EZI-65 J450ST","EZI65-1.CDX1",3965,4214,4158.246,4158.246,4.8738,4.8738,0.0000,0.000,0.5966,0.5966,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Gibb","Gibb.CDX1",3913,4205,3988.919,3988.919,1.9402,1.9402,0.0000,0.000,0.5460,0.5460,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Ion Drive","IonDrive.CDX1",8027,8642,7729.584,7729.584,-3.7052,-3.7052,0.0000,0.000,0.7856,0.7856,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Raven","Raven.CDX1",8815,9332,9488.583,9488.583,7.6413,7.6413,0.0000,0.000,1.0688,1.0688,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Thunder & Lightning","Thunder&Lightning.CDX1",3577,3989,3876.533,3876.533,8.3739,8.3739,0.0000,0.000,0.5430,0.5430,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Blister","Blister.CDX1",9026,8301,8267.917,8267.917,-8.3989,-8.3989,0.0000,0.000,0.8307,0.8307,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Rabia","Rabia.CDX1",12745,12197,11913.186,11913.186,-6.5266,-6.5266,0.0000,0.000,1.1439,1.1439,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Rabia Short Fin Can","Rabia-ShortFinCan.CDX1",10584,10225,9915.976,9915.976,-6.3116,-6.3116,-0.0000,-0.000,0.8608,0.8608,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Torrent","Torrent.CDX1",12807,13717,12454.703,12454.703,-2.7508,-2.7508,-0.0000,-0.000,1.2190,1.2190,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Caliber Isp 04 Team 3","CalIsp1.CDX1",3964,3876,3888.778,3888.778,-1.8976,-1.8976,0.0000,0.000,0.6357,0.6357,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Caliber Isp 04 Team 1","CalIsp2.CDX1",3837,3948,3960.237,3960.237,3.2118,3.2118,0.0000,0.000,0.6628,0.6628,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Caliber Isp 04 Team 2","CalIsp3.CDX1",3710,3876,3890.079,3890.079,4.8539,4.8539,0.0000,0.000,0.6379,0.6379,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Caliber Isp 05 Columbia","CalIsp4.CDX1",5085,4847,4777.135,4777.135,-6.0544,-6.0544,0.0000,0.000,0.8431,0.8431,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Caliber Isp 05 Discovery","CalIsp5.CDX1",4930,4836,4772.304,4772.304,-3.1987,-3.1987,0.0000,0.000,0.8076,0.8076,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Kline-Rogers L500","L500Roc.CDX1",24771,26509,24178.638,24178.638,-2.3914,-2.3914,0.0000,0.000,1.9848,1.9848,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Don't Debate This","DontDebateThisN5800MinDia.CDX1",56573,61982,53150.010,53150.010,-6.0506,-6.0506,0.0000,0.000,3.0363,3.0363,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Qu8k","Qu8k.CDX1",121478,119684,119186.866,119186.866,-1.8860,-1.8860,-0.0000,-0.000,3.4639,3.4639,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Proteus 6","Proteus6.CDX1",85067,81499,91338.509,91338.509,7.3724,7.3724,0.0000,0.000,2.8664,2.8664,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Full Metal Jacket BALLS 005","Full Metal Jacket1.CDX1",37981,38772,37256.478,37256.478,-1.9076,-1.9076,0.0000,0.000,2.3058,2.3058,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Full Metal Jacket Black Rock 6","Full Metal Jacket2.CDX1",30038,32548,29238.584,29238.584,-2.6614,-2.6614,0.0000,0.000,2.4649,2.4649,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","A-601 Kinsel","Kinsel_P4935_A-601_Rocket.CDX1",42771,41098,46499.309,46499.309,8.7169,8.7169,0.0000,0.000,2.1851,2.1851,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","AeroPac 104K","AeroPac104KStageOne&Two-2.CDX1",104659,113786,103602.294,103602.294,-1.0097,-1.0097,-0.0000,-0.000,3.0355,3.0355,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_van_driest_ii","Byrum","Byrum.CDX1",5732,5281,6161.393,6161.393,7.4912,7.4912,0.0000,0.000,0.7474,0.7474,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Cancer Descending","CancerDescending.CDX1",6188,6328,6044.047,6044.047,-2.3263,-2.3263,0.0000,0.000,0.5561,0.5561,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","EZI-65 J450ST","EZI65-1.CDX1",3965,4214,4158.246,4158.246,4.8738,4.8738,0.0000,0.000,0.5966,0.5966,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Gibb","Gibb.CDX1",3913,4205,3988.919,3988.919,1.9402,1.9402,0.0000,0.000,0.5460,0.5460,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Ion Drive","IonDrive.CDX1",8027,8642,7729.584,7729.584,-3.7052,-3.7052,0.0000,0.000,0.7856,0.7856,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Raven","Raven.CDX1",8815,9332,9488.583,9488.063,7.6413,7.6354,-0.0059,-0.520,1.0688,1.0688,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Thunder & Lightning","Thunder&Lightning.CDX1",3577,3989,3876.533,3876.533,8.3739,8.3739,0.0000,0.000,0.5430,0.5430,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Blister","Blister.CDX1",9026,8301,8267.917,8267.917,-8.3989,-8.3989,0.0000,0.000,0.8307,0.8307,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Rabia","Rabia.CDX1",12745,12197,11913.186,11902.508,-6.5266,-6.6104,-0.0838,-10.678,1.1439,1.1433,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Rabia Short Fin Can","Rabia-ShortFinCan.CDX1",10584,10225,9915.976,9915.976,-6.3116,-6.3116,-0.0000,-0.000,0.8608,0.8608,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Torrent","Torrent.CDX1",12807,13717,12454.703,12440.504,-2.7508,-2.8617,-0.1109,-14.199,1.2190,1.2185,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Caliber Isp 04 Team 3","CalIsp1.CDX1",3964,3876,3888.778,3888.778,-1.8976,-1.8976,0.0000,0.000,0.6357,0.6357,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Caliber Isp 04 Team 1","CalIsp2.CDX1",3837,3948,3960.237,3960.237,3.2118,3.2118,0.0000,0.000,0.6628,0.6628,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Caliber Isp 04 Team 2","CalIsp3.CDX1",3710,3876,3890.079,3890.079,4.8539,4.8539,0.0000,0.000,0.6379,0.6379,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
