temperature_K,speed_of_sound_ref_mps,speed_of_sound_orp_mps,rel_error_pct
288.15,340.294000,340.294065,0.000019
281.65,336.435000,336.434048,0.000283
275.15,332.532000,332.529226,0.000834
255.65,320.545000,320.529467,0.004846
223.15,299.463000,299.463233,0.000078
216.65,295.069000,295.069560,0.000190
221.65,298.464000,298.455049,0.002999
228.65,303.131000,303.131219,0.000072
250.35,317.214000,317.189543,0.007710
270.65,329.799000,329.798806,0.000059
242.65,312.306000,312.273557,0.010388
214.65,293.704000,293.704438,0.000149
186.95,274.056000,274.099219,0.015770
