vehicle,source_doc,apogee_real_ft,apogee_orp_ft,err_pct,max_mach,max_velocity_mps,max_accel_mps2,flight_time_s,note
"Nike-Apache NASA 14.75 GR (Wallops 1965)","X-721-67-103 Fig 3 p.13 (radar apogee 570k ft +/-10k); Table 1 p.10 (63.5 lb)",570000,708832,24.36,6.747,2007.6,431.7,229.7,"ASCENT-ONLY-CUTOFF (apogee captured)"
"Nike-Apache NASA 14.78 UA (White Sands 1965)","X-721-67-103 Fig 10 p.20 (radar apogee 490k ft +/-10k, non-std payload, WSMR)",490000,607123,23.90,5.955,1777.6,416.6,212.5,"ASCENT-ONLY-CUTOFF (apogee captured)"
"Nike-Apache NASA 14.133 NA (Wallops 1965)","X-721-67-103 Fig 16 p.26 (radar apogee 470k ft +/-10k); Table 1 (84.5 lb)",470000,630609,34.17,6.335,1883.3,424.8,216.4,"ASCENT-ONLY-CUTOFF (apogee captured)"
"Nike-Apache NASA 14.210 GI (Wallops 1965)","X-721-67-103 Fig 23 p.33 (radar apogee 535k ft +/-10k); Table 1 (64.5 lb)",535000,0,-100.00,0.020,7.4,251.4,0.0,"ZERO APOGEE: maxAlt=0.107m, branches=1, hasMotors=true, flightTime=0.0s, warnings=Messages[No recovery device defined in the simulation.,Discontinuity in rocket body diameter:  ""Payload / turnstile antenna section (64.5 lb)"", ""Apache TE-307 Mod II motor + fin can""]"
"Nike-Apache NASA 14.213 UI (Wallops 1965)","X-721-67-103 Fig 30 p.40 (radar apogee 495k ft +/-10k); Table 1 (79.5 lb)",495000,673032,35.97,6.426,1912.3,427.1,223.9,"ASCENT-ONLY-CUTOFF (apogee captured)"
"Nike-Apache NASA 14.214 UI (Wallops 1965)","X-721-67-103 Fig 37 p.47 (radar apogee 500k ft +/-10k); Table 1 (80.0 lb)",500000,676780,35.36,6.416,1909.7,426.9,224.6,"ASCENT-ONLY-CUTOFF (apogee captured)"
"Nike-Apache NASA 14.242 UE (Wallops 1965)","X-721-67-103 Fig 44 p.54 (radar apogee 555k ft +/-10k); Table 1 (50.5 lb)",555000,734951,32.42,7.046,2096.2,440.6,233.9,"ASCENT-ONLY-CUTOFF (apogee captured)"
"Nike-Apache NASA 14.244 UI (Wallops 1965)","X-721-67-103 Fig 51 p.61 (radar apogee 590k ft +/-10k); Table 1 (55.0 lb)",590000,746864,26.59,6.938,2065.5,437.1,235.9,"ASCENT-ONLY-CUTOFF (apogee captured)"
"Nike-Apache NASA 14.247 UI (Wallops 1965)","X-721-67-103 Fig 58 p.68 (radar apogee 595k ft +/-10k); Table 1 (50.5 lb)",595000,773285,29.96,7.048,2099.0,440.8,240.2,"ASCENT-ONLY-CUTOFF (apogee captured)"
"Nike-Cajun UM Sounding (Wallops 1956-57)","NACA RM L57D26 p.5 (apogee 426k ft beacon-tracked, 51.85 lb nose+instr)",426000,496526,16.56,6.249,1843.8,487.6,186.5,"ASCENT-ONLY-CUTOFF (apogee captured)"
"Nike-Cajun Hurricane (Wallops 1956-57)","NACA RM L57D26 Fig 7 p.21 (apogee ~412k ft from plot, 75.77 lb nose+instr)",412000,,,,,,,"SIM ERROR: ASCENT-ONLY-CUTOFF"
"Nike-Deacon no.1 (Wallops 1955)","NACA TN 3739 p.1, p.5-6 (apogee 356k ft beacon-tracked, 34.0 lb nose+instr)",356000,352210,-1.06,4.956,1462.5,438.1,158.4,"ASCENT-ONLY-CUTOFF (apogee captured)"
"Nike-Deacon no.2 (Wallops 1955)","NACA TN 3739 p.1, p.5-6 (apogee 350k ft intermittent track, 39.0 lb nose+instr)",350000,346902,-0.89,5.079,1498.6,435.7,155.1,"ASCENT-ONLY-CUTOFF (apogee captured)"
