flight_id,vehicle_name,motor,diameter_in,peak_mach,launch_site_alt_ft,apogee_real_ft,apogee_rasaero_ft,apogee_thiswork_ft,err_rasaero_pct,err_thiswork_pct,abs_err_delta_pp,flight_data_type,data_source
26,Super Loki Robin Dart Flight 1-1,Super Loki E4-1 (SDC),1.625,,13,325000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.2 row 1 (19 SEP 72 Wallops D1-6160)
27,Super Loki Robin Dart Flight 1-8,Super Loki E4-1A (SDC),1.625,,13,318000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.2 row 4 (02 OCT 72 Wallops D1-6163)
28,Super Loki Robin Dart Flight 2-9,Super Loki E4-2 (SDC),1.625,,13,394000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.2 row 5 (09 JAN 73 Wallops D1-6168)
29,Super Loki Robin Dart Flight 2-10,Super Loki E4-2 (SDC),1.625,,13,394000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.2 row 6 (09 JAN 73 Wallops D1-6169)
30,Super Loki Robin Dart Flight 2-11,Super Loki E4-2 (SDC),1.625,,13,389000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.2 row 7 (09 JAN 73 Wallops D1-6170)
31,Super Loki Robin Dart Flight 3-13,Super Loki E4-3 (SDC),1.625,,13,340000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.2 row 9 (29 MAR 73 Wallops D1-7172)
32,Super Loki Robin Dart Flight 3-14,Super Loki E4-3 (SDC),1.625,,13,349000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.2 row 10 (29 MAR 73 Wallops D1-6173)
33,Super Loki Robin Dart Flight 3-18,Super Loki E4-3 (SDC),1.625,,13,367000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.2 row 13 (30 MAR 73 Wallops D1-6174)
34,Super Loki Robin Dart Flight 4-25,Super Loki E4-3 (SDC),1.625,,13,346000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.2 row 14 (22 JUN 73 Wallops D1-6184)
35,Super Loki Robin Dart Flight 4-26,Super Loki E4-3 (SDC),1.625,,13,348000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.2 row 15 (22 JUN 73 Wallops D1-6185)
36,Super Loki Robin Dart Flight 4-27,Super Loki E4-3 (SDC),1.625,,13,352000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.2 row 16 (22 JUN 73 Wallops D1-6186)
37,Super Loki Robin Dart Flight 4-28,Super Loki E4-3 (SDC),1.625,,13,342000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.2 row 17 (26 JUN 73 Wallops D1-6187)
38,Super Loki Robin Dart Flight 4-30,Super Loki E4-3 (SDC),1.625,,13,340000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.2 row 19 (26 JUN 73 Wallops D1-6189)
39,Super Loki Instrumented Dart Flight 3-15,Super Loki F4-1 (SDC),2.125,,13,240000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.3 row 1 (29 MAY 73 Wallops D1-6175)
40,Super Loki Instrumented Dart Flight 3-19,Super Loki F4-1 (SDC),2.125,,13,237000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.3 row 2 (02 APR 73 Wallops D1-6176)
41,Super Loki Instrumented Dart Flight 4-22,Super Loki F4-1 (SDC),2.125,,13,219000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.3 row 5 (21 JUN 73 Wallops D1-6181)
42,Super Loki Instrumented Dart Flight 4-23,Super Loki F4-1 (SDC),2.125,,13,230000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.3 row 6 (21 JUN 73 Wallops D1-6182)
43,Super Loki Instrumented Dart Flight 4-24,Super Loki F4-1 (SDC),2.125,,13,228000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.3 row 7 (21 JUN 73 Wallops D1-6183)
44,Viper 3A Robin Dart Flight 1-4,Viper 3A E4.5-1 (SDC),1.625,,13,380000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.4 row 1 (27 SEP 72 Wallops D1-6164)
45,Viper 3A Robin Dart Flight 1-5,Viper 3A E4.5-1 (SDC),1.625,,13,397000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.4 row 2 (27 SEP 72 Wallops D1-6165)
46,Viper 3A Robin Dart Flight 1-6,Viper 3A E4.5-1 (SDC),1.625,,13,394000,,TODO_pending_orp_run,,,,Radar Track,AFCRL-TR-73-0412 Table 8.4 row 3 (02 OCT 72 Wallops D1-6166)
47,Arcas Performance Flight 2,Arcas 25-KS-325 MARC 2A1 (ARC) original config,4.5,,4000,78000,,TODO_pending_orp_run,,,,Radar Track,DTIC AD-235341 p.15 Performance Flights (WSMR Nov 1958-Jun 1959 second flight original short motor blunt nose)
48,Arcas Performance Flight 3,Arcas 25-KS-325 MARC 2A1 (ARC) original config,4.5,,4000,90200,,TODO_pending_orp_run,,,,Radar Track,DTIC AD-235341 p.15 Performance Flights (WSMR Nov 1958-Jun 1959 third flight original short motor blunt nose)
49,Arcas Performance Flight 4,Arcas 25-KS-325 MARC 2A1 (ARC) 4-cal secant ogive,4.5,,4000,178000,,TODO_pending_orp_run,,,,Radar Track,DTIC AD-235341 p.16 Performance Flights (WSMR fourth flight new secant-ogive nose unmodified motor)
50,Arcas Performance Flight 5,Arcas 25-KS-325 MARC 2A1 (ARC) 4-cal secant ogive,4.5,,4000,171400,,TODO_pending_orp_run,,,,Radar Track,DTIC AD-235341 p.16 Performance Flights (WSMR fifth flight new secant-ogive nose unmodified motor)
51,Arcas Performance Flight 6,Arcas extended motor (ARC) final config,4.5,3.6,4000,215000,,TODO_pending_orp_run,,,,Radar Track,DTIC AD-235341 p.16 Performance Flights (WSMR sixth flight extended motor lower-bound apogee from radar extrapolation; burnout Mach per p.3)
52,Arcas Performance Flight 7,Arcas extended motor (ARC) final config,4.5,3.6,4000,249000,,TODO_pending_orp_run,,,,Radar Track,DTIC AD-235341 p.16-17 Performance Flights (WSMR seventh flight extended motor radar extrapolation; burnout Mach per p.3)
