vehicle,source_doc,real_apogee_ft,orp_apogee_ft,err_thiswork_pct,peak_mach,headline_admissible,note
HEROS 3,"Kobald 2018 JSASS p.312-313 (Esrange 8 Nov 2016, GPS apogee)",106000,38822,-63.38,1.886,NO (>10% error),
Arcas Performance Flight 2 (blunt),"DTIC AD-235341 p.15 (orig blunt, 25-KS-325, 78k ft apogee)",78000,55237,-29.18,2.294,NO (>10% error),
Arcas Performance Flight 3 (blunt),"DTIC AD-235341 p.15-16 (orig blunt, 25-KS-325, 90.2k ft)",90200,55237,-38.76,2.294,NO (>10% error),
Arcas Performance Flight 4 (secant),"DTIC AD-235341 p.16 (4-cal secant ogive, 25-KS-325, 178k ft)",178000,54973,-69.12,2.535,NO (>10% error),
Arcas Performance Flight 5 (secant),"DTIC AD-235341 p.16 (4-cal secant ogive, 25-KS-325, 171.4k ft)",171400,54973,-67.93,2.535,NO (>10% error),
Nike-Apache NASA 14.108 GI,"Dembrow/Jamieson 1963 p.1-3; NASA TM X-55700 p.6/p.64-65 (76 lb payload, effective ~83 deg, exact apogee bracketed)",528000,694137,31.47,6.498,NO (>10% error),DESCENT-NAN (apogee captured): Simulation values exceeded limits.  Try selecting a shorter time step.
Black Brant V VB (AAF-VB-32),"DTIC AD0733141 p.10 / p.14 Table 1 (Churchill 3 Mar 1971, 273.6 km)",897638,835071,-6.97,7.224,within +/-10%,DESCENT-NAN (apogee captured): Simulation values exceeded limits.  Try selecting a shorter time step.
Nike-Apache NASA 14.75 GR (Wallops 1965),X-721-67-103 Fig 3 p.13 (radar apogee 570k ft +/-10k); Table 1 p.10 (63.5 lb),570000,709580,24.49,6.747,NO (>10% error),ASCENT-ONLY-CUTOFF (apogee captured)
Nike-Apache NASA 14.78 UA (White Sands 1965),"X-721-67-103 Fig 10 p.20 (radar apogee 490k ft +/-10k, non-std payload, WSMR)",490000,606985,23.87,5.955,NO (>10% error),ASCENT-ONLY-CUTOFF (apogee captured)
Nike-Apache NASA 14.133 NA (Wallops 1965),X-721-67-103 Fig 16 p.26 (radar apogee 470k ft +/-10k); Table 1 (84.5 lb),470000,628958,33.82,6.335,NO (>10% error),ASCENT-ONLY-CUTOFF (apogee captured)
Nike-Apache NASA 14.210 GI (Wallops 1965),X-721-67-103 Fig 23 p.33 (radar apogee 535k ft +/-10k); Table 1 (64.5 lb),535000,0,-100.0,0.020,NO (>10% error),"ZERO APOGEE: maxAlt=0.107m, branches=1, hasMotors=true, flightTime=0.0s, warnings=Messages[No recovery device defined in the simulation.,Discontinuity in rocket body diameter:  ""Payload / turnstile antenna section (64.5 lb)"", ""Apache TE-307 Mod II motor + fin can""]"
Nike-Apache NASA 14.213 UI (Wallops 1965),X-721-67-103 Fig 30 p.40 (radar apogee 495k ft +/-10k); Table 1 (79.5 lb),495000,672450,35.85,6.426,NO (>10% error),ASCENT-ONLY-CUTOFF (apogee captured)
Nike-Apache NASA 14.214 UI (Wallops 1965),X-721-67-103 Fig 37 p.47 (radar apogee 500k ft +/-10k); Table 1 (80.0 lb),500000,676584,35.32,6.416,NO (>10% error),ASCENT-ONLY-CUTOFF (apogee captured)
Nike-Apache NASA 14.242 UE (Wallops 1965),X-721-67-103 Fig 44 p.54 (radar apogee 555k ft +/-10k); Table 1 (50.5 lb),555000,736353,32.68,7.047,NO (>10% error),ASCENT-ONLY-CUTOFF (apogee captured)
Nike-Apache NASA 14.244 UI (Wallops 1965),X-721-67-103 Fig 51 p.61 (radar apogee 590k ft +/-10k); Table 1 (55.0 lb),590000,748609,26.88,6.939,NO (>10% error),ASCENT-ONLY-CUTOFF (apogee captured)
Nike-Apache NASA 14.247 UI (Wallops 1965),X-721-67-103 Fig 58 p.68 (radar apogee 595k ft +/-10k); Table 1 (50.5 lb),595000,771287,29.63,7.047,NO (>10% error),ASCENT-ONLY-CUTOFF (apogee captured)
Nike-Cajun UM Sounding (Wallops 1956-57),"NACA RM L57D26 p.5 (apogee 426k ft beacon-tracked, 51.85 lb nose+instr)",426000,496526,16.56,6.249,NO (>10% error),ASCENT-ONLY-CUTOFF (apogee captured)
Nike-Cajun Hurricane (Wallops 1956-57),"NACA RM L57D26 Fig 7 p.21 (apogee ~412k ft from plot, 75.77 lb nose+instr)",412000,,,,NO (sim error),SIM ERROR: ASCENT-ONLY-CUTOFF
Nike-Deacon no.1 (Wallops 1955),"NACA TN 3739 p.1, p.5-6 (apogee 356k ft beacon-tracked, 34.0 lb nose+instr)",356000,352210,-1.06,4.956,within +/-10%,ASCENT-ONLY-CUTOFF (apogee captured)
Nike-Deacon no.2 (Wallops 1955),"NACA TN 3739 p.1, p.5-6 (apogee 350k ft intermittent track, 39.0 lb nose+instr)",350000,346902,-0.89,5.079,within +/-10%,ASCENT-ONLY-CUTOFF (apogee captured)
